original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
AB,AB_to_ORI,A2,C2,0.9825,0.0302,0.372,0.0451,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
AB,AB_to_ORI,A3,C3,0.4847,0.0916,0.4099,0.0292,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
AB,AB_to_ORI,A4,C4,0.3593,0.008,0.3165,0.0094,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
AB,AB_to_ORI,A5,C5,0.2059,0.0097,0.1929,0.0017,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
AB,AB_to_ORI,A6,C6,0,0.0018,0,0.0015,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
AB,AB_to_ORI,A7,C7,0.0652,0.0131,0.0349,0.007,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
AB,AB_to_ORI,P2,N2,0.4501,0.0311,0.4605,0.0267,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
AB,AB_to_ORI,P3,N3,1,0.2508,0.456,0.0474,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
AB,AB_to_ORI,P4,N4,0.4342,0.0449,0.3874,0.0618,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
AB,AB_to_ORI,P5,N5,0.6884,0.0192,0.5874,0.0507,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
AB,AB_to_ORI,P6,N6,2.6263,0.0275,1.9231,0.1295,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
AB,AB_to_ORI,P7,N7,2.6108,0.0203,1.9234,0.0652,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
AB,AB_to_ORI,P8,N8,2.4732,0.0186,1.8891,0.1146,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
AB_to_ORI,AB,C2,A2,0.372,0.0451,0.9825,0.0302,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
AB_to_ORI,AB,C3,A3,0.4099,0.0292,0.4847,0.0916,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
AB_to_ORI,AB,C4,A4,0.3165,0.0094,0.3593,0.008,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
AB_to_ORI,AB,C5,A5,0.1929,0.0017,0.2059,0.0097,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
AB_to_ORI,AB,C6,A6,0,0.0015,0,0.0018,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
AB_to_ORI,AB,C7,A7,0.0349,0.007,0.0652,0.0131,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
AB_to_ORI,AB,N2,P2,0.4605,0.0267,0.4501,0.0311,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
AB_to_ORI,AB,N3,P3,0.456,0.0474,1,0.2508,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
AB_to_ORI,AB,N4,P4,0.3874,0.0618,0.4342,0.0449,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
AB_to_ORI,AB,N5,P5,0.5874,0.0507,0.6884,0.0192,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
AB_to_ORI,AB,N6,P6,1.9231,0.1295,2.6263,0.0275,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
AB_to_ORI,AB,N7,P7,1.9234,0.0652,2.6108,0.0203,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
AB_to_ORI,AB,N8,P8,1.8891,0.1146,2.4732,0.0186,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
