nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,17357.0,17309.0,18299.0,A2,A8,A14,17655.0,455.8,0.9825,0.0302,AB
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,11490.0,10685.0,8238.0,A3,A9,A15,10137.7,1382.9,0.4847,0.0916,AB
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,8370.0,8081.0,8280.0,A4,A10,A16,8243.7,120.7,0.3593,0.008,AB
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,5724.0,5984.0,6069.0,A5,A11,A17,5925.7,146.8,0.2059,0.0097,AB
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,2786.0,2810.0,2853.0,A6,A12,A18,2816.3,27.7,0.0,0.0018,AB
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,4072.0,3606.0,3727.0,A7,A13,A19,3801.7,197.4,0.0652,0.0131,AB
0.099,0.0068,50.0,0.026,10.0,2.0,0.75,0.1,9.0,0.15,0.1,2.0,50.0,0.075,20.0,10.0,22886.0,21077.0,21493.0,C9,C11,C12,21818.7,773.6,1.2582,0.0512,AB
0.033,0.0204,50.0,0.026,10.0,2.0,0.75,0.3,3.0,0.15,0.02,1.2,50.0,0.075,4.0,10.0,19508.0,20662.0,20872.0,B2,B3,B4,20347.3,599.7,1.1607,0.0397,AB
0.099,0.034,50.0,0.13,10.0,2.0,0.75,0.1,3.0,0.15,0.02,0.4,50.0,0.225,4.0,10.0,18794.0,21253.0,19984.0,B5,B6,B7,20010.3,1004.1,1.1384,0.0665,AB
0.033,0.0068,50.0,0.026,10.0,2.0,0.45,0.1,15.0,0.15,0.06,0.4,50.0,0.075,20.0,10.0,9822.0,9565.0,8704.0,B8,B9,B10,9363.7,478.1,0.4335,0.0317,AB
