name,Time_1,Time_2,Time_3,Time_4,Time_5
A2,16658,17676,17578,17508,17357
A3,10829,12479,12165,11816,11490
A4,7691,8884,8671,8488,8370
A5,5099,5907,5807,5759,5724
A6,2373,2861,2845,2825,2786
A7,3756,4273,4199,4124,4072
A8,16572,17547,17522,17286,17309
A9,10469,11620,11354,11013,10685
A10,7518,8413,8255,8157,8081
A11,5512,6216,6105,6040,5984
A12,2488,2867,2847,2831,2810
A13,3322,3713,3664,3631,3606
A14,18142,18635,18524,18377,18299
A15,8336,8976,8777,8494,8238
A16,8016,8698,8538,8421,8280
A17,5857,6279,6182,6107,6069
A18,2663,2921,2887,2872,2853
A19,3548,3761,3735,3750,3727
A20,435,423,432,433,431
A21,421,420,420,420,423
A22,422,417,420,415,414
A23,436,430,437,434,432
A24,431,428,428,425,424
B2,19731,19882,19621,19535,19508
B3,20685,20848,20665,20651,20662
B4,20904,21167,20943,20888,20872
B5,18500,19147,19006,18866,18794
B6,20993,21773,21559,21404,21253
B7,19776,20474,20281,20024,19984
B8,10370,10395,10179,9971,9822
B9,10283,10496,10121,9772,9565
B10,9406,9547,9205,8891,8704
B11,15969,16231,16055,15823,15813
B12,15589,15827,15634,15577,15489
B13,15176,15692,15527,15417,15438
B14,20401,20702,20557,20330,20178
B15,19246,19602,19435,19104,18828
B16,21217,21647,21642,21324,21142
B17,13216,13408,13164,13021,12726
B18,13077,13314,13066,12794,12635
B19,12814,12970,12768,12539,12354
B20,18053,18353,18146,17757,17650
B21,20242,20510,20227,19938,19936
B22,18869,19171,18966,18780,18767
B23,10712,10712,10513,10337,10134
B24,445,441,443,437,438
C2,10914,10821,10602,10403,10257
C3,11084,10954,10785,10559,10400
C4,17382,16885,16711,16365,16228
C5,24102,24185,23849,23521,23349
C6,23110,23128,22933,22680,22578
C7,17101,16830,16534,16227,15957
C8,23298,23391,23094,22757,22567
C9,23748,23696,23410,23029,22886
C10,17677,17427,17182,16860,16594
C11,22164,21765,21504,21252,21077
C12,22774,22324,21994,21658,21493
C13,12188,12494,12403,12324,12171
C14,11742,11947,11906,11737,11614
C15,11303,11546,11476,11316,11242
C16,17509,17413,17166,16880,16694
C17,11969,11846,11675,11511,11299
C18,16611,16675,16422,16126,15835
C19,12292,12130,11999,11780,11619
C20,16052,15998,15713,15507,15358
C21,11211,11074,10908,10679,10483
C22,17056,16874,16496,16173,15932
C23,17758,17450,17118,16790,16580
C24,448,447,451,448,450
D2,18238,17790,17356,16957,16612
D3,17257,17166,16709,16502,16307
D4,18216,17798,17425,17160,16956
D5,18431,18018,17714,17422,17222
D6,11596,11151,10814,10539,10319
D7,11654,11233,10883,10595,10355
D8,11035,10664,10278,9984,9804
D9,19310,18605,18159,17814,17520
D10,19691,19006,18586,18230,18039
D11,22275,22072,21676,21513,21419
D12,17232,16947,16597,16376,16132
D13,18007,17523,17240,16977,16710
D14,20983,20825,20594,20398,20170
D15,18279,17936,17618,17366,17018
D16,18909,18576,18331,18051,17854
D17,22192,22167,21978,21724,21639
D18,12453,12253,12091,11842,11703
D19,12547,12363,12112,11812,11622
D20,12043,11785,11612,11440,11265
D21,13399,13072,12792,12596,12362
D22,11439,11224,10999,10852,10673
D23,12262,11987,11728,11507,11335
D24,458,457,457,452,455
E2,10710,10281,10000,9715,9402
E3,11013,10578,10317,10071,9866
E4,11854,11367,11134,10930,10655
E5,24430,23639,23296,23011,22622
E6,25586,25113,24843,24549,24236
E7,29480,28519,28109,27808,27412
E8,28712,28047,27414,27115,26756
