original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
DH5,DH5_to_ORI,A6,D6,0,0.0009,0,0.013,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
DH5,DH5_to_ORI,A7,D7,0.0937,0.0076,0.3002,0.0213,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
DH5,DH5_to_ORI,A5,D5,0.1899,0.0114,0.8491,0.0279,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
DH5,DH5_to_ORI,A4,D4,0.237,0.0066,0.7451,0.0399,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
DH5,DH5_to_ORI,A2,D2,0.2844,0.0045,0.8384,0.0345,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
DH5,DH5_to_ORI,A3,D3,0.3054,0.0295,1.1762,0.0724,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
DH5,DH5_to_ORI,P2,M2,0.667,0.0197,1.6899,0.1041,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
DH5,DH5_to_ORI,P4,M4,0.7029,0.1312,1.788,0.1904,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
DH5,DH5_to_ORI,P6,M6,0.924,0.0023,1.6001,0.0922,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
DH5,DH5_to_ORI,P7,M7,0.9574,0.0171,1.7165,0.0451,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
DH5,DH5_to_ORI,P3,M3,1,0.0462,1.844,0.0968,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
DH5,DH5_to_ORI,P8,M8,1.0167,0.0378,1.8797,0.1123,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
DH5,DH5_to_ORI,P5,M5,1.0944,0.1189,1.966,0.0567,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
DH5_to_ORI,DH5,D2,A2,0.8384,0.0345,0.2844,0.0045,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
DH5_to_ORI,DH5,D3,A3,1.1762,0.0724,0.3054,0.0295,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
DH5_to_ORI,DH5,D4,A4,0.7451,0.0399,0.237,0.0066,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
DH5_to_ORI,DH5,D5,A5,0.8491,0.0279,0.1899,0.0114,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
DH5_to_ORI,DH5,D6,A6,0,0.013,0,0.0009,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
DH5_to_ORI,DH5,D7,A7,0.3002,0.0213,0.0937,0.0076,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
DH5_to_ORI,DH5,M2,P2,1.6899,0.1041,0.667,0.0197,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
DH5_to_ORI,DH5,M3,P3,1.844,0.0968,1,0.0462,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
DH5_to_ORI,DH5,M4,P4,1.788,0.1904,0.7029,0.1312,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
DH5_to_ORI,DH5,M5,P5,1.966,0.0567,1.0944,0.1189,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
DH5_to_ORI,DH5,M6,P6,1.6001,0.0922,0.924,0.0023,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
DH5_to_ORI,DH5,M7,P7,1.7165,0.0451,0.9574,0.0171,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
DH5_to_ORI,DH5,M8,P8,1.8797,0.1123,1.0167,0.0378,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
