nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_sd
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.0009,DH5,A6,0.38,0.001386
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.0937,0.0076,DH5,A7,0.524298,0.011704
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,0.1305,0.0063,DH5,O19,0.58097,0.009702
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.1899,0.0114,DH5,A5,0.672446,0.017556
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.237,0.0066,DH5,A4,0.74498,0.010164
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.2844,0.0045,DH5,A2,0.817976,0.00693
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.2888,0.0198,DH5,J11,0.824752,0.030492
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.3054,0.0295,DH5,A3,0.850316,0.04543
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.3073,0.0356,DH5,J9,0.853242,0.054824
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.3104,0.0072,DH5,K2,0.858016,0.011088
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,0.3478,0.0189,DH5,O16,0.915612,0.029106
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.3532,0.0129,DH5,G21,0.923928,0.019866
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,0.3575,0.0113,DH5,B11,0.93055,0.017402
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.3709,0.0097,DH5,I10,0.951186,0.014938
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.3746,0.0145,DH5,F16,0.956884,0.02233
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.4212,0.0114,DH5,H17,1.028648,0.017556
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,0.4265,0.0239,DH5,J3,1.03681,0.036806
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,0.5462,0.0046,DH5,F10,1.221148,0.007084
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,4,10,0.5693,0.01,DH5,C13,1.256722,0.0154
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,0.5909,0.0193,DH5,J18,1.289986,0.029722
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.667,0.0197,DH5,P2,1.40718,0.030338
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,0.7,0.0115,DH5,J21,1.458,0.01771
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.7029,0.1312,DH5,P4,1.462466,0.202048
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,0.7146,0.0255,DH5,G7,1.480484,0.03927
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,0.7532,0.0021,DH5,H23,1.539928,0.003234
