nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,1907,1956,1952,A6,A12,A18,1938.3,22.2,0,0.0009,DH5
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,4532,4067,4262,A7,A13,A19,4287,190.7,0.0937,0.0076,DH5
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,5294,5349,4990,O19,O20,O21,5211,157.9,0.1305,0.0063,DH5
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,6710,7045,6348,A5,A11,A17,6701,284.6,0.1899,0.0114,DH5
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,8115,7781,7747,A4,A10,A16,7881,166,0.237,0.0066,DH5
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,9032,9223,8954,A2,A8,A14,9069.7,113,0.2844,0.0045,DH5
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,9239,9754,8543,J11,J14,J17,9178.7,496.2,0.2888,0.0198,DH5
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,10641,9091,9052,A3,A9,A15,9594.7,740,0.3054,0.0295,DH5
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,8384,10338,10207,J9,J12,J15,9643,891.9,0.3073,0.0356,DH5
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,9523,9684,9960,K2,K4,K6,9722.3,180.5,0.3104,0.0072,DH5
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,10528,10156,11296,O16,O17,O18,10660,474.7,0.3478,0.0189,DH5
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,10714,11225,10444,G21,G22,G23,10794.3,323.9,0.3532,0.0129,DH5
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,11295,10780,10632,B11,B12,B13,10902.3,284.2,0.3575,0.0113,DH5
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,11340,10901,11472,I10,I11,I12,11237.7,244.1,0.3709,0.0097,DH5
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,11557,11617,10816,F16,F17,F18,11330,364.3,0.3746,0.0145,DH5
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,12755,12101,12643,H17,H18,H19,12499.7,285.6,0.4212,0.0114,DH5
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,13073,11783,13037,J3,J4,J5,12631,599.8,0.4265,0.0239,DH5
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,15720,15471,15711,F10,F12,F14,15634,115.3,0.5462,0.0046,DH5
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,4,10,15860,16349,16428,C13,C14,C15,16212.3,251.2,0.5693,0.01,DH5
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,16495,17432,16335,J18,J19,J20,16754,483.8,0.5909,0.0193,DH5
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,17967,19055,18967,P2,P9,P16,18663,493.5,0.667,0.0197,DH5
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,19306,19899,19266,J21,J22,J23,19490.3,289.4,0.7,0.0115,DH5
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,22161,21606,14921,P4,P11,P18,19562.7,3290,0.7029,0.1312,DH5
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,19048,19911,20609,G7,G9,G11,19856,638.5,0.7146,0.0255,DH5
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,20887,20824,20759,H23,I5,I9,20823.3,52.3,0.7532,0.0021,DH5
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,4,10,21429,20457,21286,B2,B3,B4,21057.3,428.5,0.7625,0.0171,DH5
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,21488,21042,20851,K11,K12,K13,21127,266.9,0.7653,0.0106,DH5
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,21496,20836,21477,G12,G13,G14,21269.7,306.7,0.771,0.0122,DH5
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,40,10,21940,22020,20433,L12,L15,L18,21464.3,730,0.7788,0.0291,DH5
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,21572,22192,21475,J6,J7,J8,21746.3,317.6,0.79,0.0127,DH5
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,21596,22891,22563,G6,G8,G10,22350,549.7,0.8141,0.0219,DH5
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10,22537,22267,22340,M15,M16,M17,22381.3,114,0.8153,0.0045,DH5
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,23615,22977,20926,K17,K18,K19,22506,1147.2,0.8203,0.0458,DH5
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,22709,22448,22760,G18,G19,G20,22639,136.7,0.8256,0.0055,DH5
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,23328,22956,21859,F19,F20,F21,22714.3,623.6,0.8286,0.0249,DH5
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,22977,22287,22930,O7,O9,O11,22731.3,314.8,0.8293,0.0126,DH5
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,23096,23306,21954,L11,L14,L17,22785.3,594.1,0.8314,0.0237,DH5
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,22986,22618,22847,B14,B15,B16,22817,151.7,0.8327,0.0061,DH5
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,23092,23780,22691,L2,L5,L8,23187.7,449.7,0.8475,0.0179,DH5
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,23444,23797,23578,K23,L4,L7,23606.3,145.5,0.8642,0.0058,DH5
