original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
PS_to_PS,PS_to_ORI,A2,B2,0.5707,0.0122,0.6377,0.0297,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
PS_to_PS,PS_to_ORI,A3,B3,0.5908,0.061,0.478,0.0293,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
PS_to_PS,PS_to_ORI,A4,B4,0.3304,0.0284,0.4173,0.0292,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
PS_to_PS,PS_to_ORI,A5,B5,0.1989,0.0588,0.2517,0.0016,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
PS_to_PS,PS_to_ORI,A6,B6,0,0.0164,0,0.0037,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
PS_to_PS,PS_to_ORI,A7,B7,0.0895,0.0201,0.0959,0.0124,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
PS_to_PS,PS_to_ORI,P2,O2,0.6361,0.1521,1.0519,0.0851,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
PS_to_PS,PS_to_ORI,P3,O3,1,0.1315,1.0457,0.098,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
PS_to_PS,PS_to_ORI,P4,O4,0.5365,0.0506,0.6605,0.0879,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
PS_to_PS,PS_to_ORI,P5,O5,0.9936,0.0816,1.1698,0.1406,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
PS_to_PS,PS_to_ORI,P6,O6,2.515,0.1189,2.8805,0.0878,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
PS_to_PS,PS_to_ORI,P7,O7,2.2879,0.127,2.7563,0.0555,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
PS_to_PS,PS_to_ORI,P8,O8,2.2498,0.2389,2.8307,0.1813,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
PS_full,PS_to_ORI,A2,B2,0.383,0.0072,0.6377,0.0297,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
PS_full,PS_to_ORI,A3,B3,0.1819,0.0133,0.478,0.0293,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
PS_full,PS_to_ORI,A4,B4,0.1938,0.0106,0.4173,0.0292,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
PS_full,PS_to_ORI,A5,B5,0.0633,0.0067,0.2517,0.0016,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
PS_full,PS_to_ORI,A6,B6,0,0.0023,0,0.0037,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
PS_full,PS_to_ORI,A7,B7,0.0589,0.0326,0.0959,0.0124,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
PS_full,PS_to_ORI,P2,O2,0.7508,0.0311,1.0519,0.0851,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
PS_full,PS_to_ORI,P3,O3,1,0.0518,1.0457,0.098,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
PS_full,PS_to_ORI,P4,O4,0.506,0.0419,0.6605,0.0879,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
PS_full,PS_to_ORI,P5,O5,0.8843,0.1427,1.1698,0.1406,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
PS_full,PS_to_ORI,P6,O6,2.2385,0.1025,2.8805,0.0878,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
PS_full,PS_to_ORI,P7,O7,2.0462,0.0807,2.7563,0.0555,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
PS_full,PS_to_ORI,P8,O8,1.9641,0.0542,2.8307,0.1813,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
PS_full,PS_to_PS,A2,A2,0.383,0.0072,0.5707,0.0122,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
PS_full,PS_to_PS,A3,A3,0.1819,0.0133,0.5908,0.061,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
PS_full,PS_to_PS,A4,A4,0.1938,0.0106,0.3304,0.0284,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
PS_full,PS_to_PS,A5,A5,0.0633,0.0067,0.1989,0.0588,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
PS_full,PS_to_PS,A6,A6,0,0.0023,0,0.0164,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
