nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.383,0.0072,PS_full,A2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.1819,0.0133,PS_full,A3
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.1938,0.0106,PS_full,A4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.0633,0.0067,PS_full,A5
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.0023,PS_full,A6
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.0589,0.0326,PS_full,A7
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,0.8582,0.0358,PS_full,C9
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,4,10,0.6353,0.003,PS_full,B2
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,4,10,0.4909,0.0118,PS_full,B5
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,0.6569,0.0301,PS_full,B8
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,0.2926,0.0015,PS_full,B11
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,0.7961,0.0129,PS_full,B14
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,20,10,0.7029,0.0116,PS_full,B17
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10,0.8547,0.005,PS_full,B20
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,20,10,0.6785,0.0048,PS_full,B23
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10,0.8328,0.0278,PS_full,C4
