original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
plate_AL_7,plate_AL_9,B5,P8,3.2983,0.1235,2.232,0.2191,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10
plate_AL_7,plate_AL_8,C16,P8,2.6547,0.1263,2.0579,0.2187,0.099,0.0068,50,0.026,2,10,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10
plate_AL_7,plate_AL_10,C5,P8,3.0081,0.0616,2.2928,0.2056,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10
plate_AL_6,plate_AL_7,K20,P8,2.23,0.2116,2.2575,0.1555,0.099,0.034,50,0.026,2,10,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10
plate_AL_2,plate_AL_3,K7,P8,1.2797,0.1395,1.031,0.0589,0.033,0.034,50,0.026,2,10,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10
plate_AL_3,plate_AL_4,N16,P8,1.3423,0.0555,0.8954,0.2994,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10
plate_AL_3,plate_AL_5,O9,P8,1.4587,0.0301,1.1603,0.1415,0.033,0.0204,50,0.026,2,10,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10
plate_AL_3,plate_AL_6,O9,P8,1.4587,0.0301,0.8954,0.3028,0.033,0.0204,50,0.026,2,10,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10
plate_AL_4,plate_AL_5,P6,P8,0.8899,0.3484,1.1603,0.1415,0.033,0.0204,50,0.026,2,10,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10
plate_AL_4,plate_AL_6,P6,P8,0.8899,0.3484,0.8954,0.3028,0.033,0.0204,50,0.026,2,10,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10
plate_AL_8,plate_AL_9,P6,P8,2.353,0.0913,2.232,0.2191,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10
plate_AL_5,plate_AL_6,P8,P8,1.1603,0.1415,0.8954,0.3028,0.033,0.0204,50,0.026,2,10,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10
plate_AL_7,plate_AL_9,B2,P7,3.3227,0.0324,2.5839,0.1924,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10
plate_AL_7,plate_AL_10,B5,P7,3.2983,0.1235,2.321,0.0264,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10
plate_AL_7,plate_AL_8,C4,P7,2.9539,0.0571,2.188,0.0823,0.033,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10
