nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10,1.006,0.0393,plate_AL_1,J6
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10,1,0.021,plate_AL_1,M6
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,40,10,0.8742,0.2105,plate_AL_1,F3
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10,0.8326,0.0585,plate_AL_1,L16
0.033,0.0204,50,0.026,10,2,0.45,0.5,15,0.75,0.1,1.2,50,0.225,40,10,0.8109,0.0415,plate_AL_1,M3
0.033,0.034,50,0.13,10,2,0.75,0.5,15,0.15,0.06,2,50,0.225,40,10,0.7828,0.0492,plate_AL_1,F16
0.099,0.034,50,0.078,10,2,0.75,0.5,9,0.45,0.1,2,50,0.225,24,10,0.7801,0.085,plate_AL_1,J3
0.033,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,1.2,50,0.225,40,10,0.7356,0.0247,plate_AL_1,E17
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,40,10,0.7139,0.095,plate_AL_1,D22
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,4,50,0.075,8,10,0.7058,0.0272,plate_AL_1,C13
0.033,0.0204,50,0.13,10,2,0.45,0.3,15,0.45,0.1,0.4,50,0.075,40,10,0.646,0.0203,plate_AL_1,I16
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,1.2,50,0.375,40,10,0.6337,0.1946,plate_AL_1,K23
0.165,0.0204,50,0.078,10,2,0.75,0.5,15,0.75,0.02,2,50,0.075,40,10,0.6178,0.3364,plate_AL_1,M15
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,8,10,0.6119,0.038,plate_AL_1,D3
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.15,0.02,0.4,50,0.225,40,10,0.6077,0.059,plate_AL_1,D21
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.6036,0.0716,plate_AL_1,B2
0.033,0.068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.5925,0.1078,plate_AL_1,B9
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.2,0.4,50,0.075,8,10,0.5866,0.0696,plate_AL_1,B5
0.165,0.0204,50,0.078,10,2,0.75,0.5,3,0.15,0.1,1.2,50,0.075,40,10,0.5782,0.0197,plate_AL_1,F10
0.165,0.0068,50,0.078,10,2,0.75,0.1,3,0.15,0.1,2,50,0.075,8,10,0.5738,0.0108,plate_AL_1,D9
0.033,0.0068,50,0.26,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.5674,0.121,plate_AL_1,B6
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.75,8,10,0.5655,0.1227,plate_AL_1,B8
0.033,0.034,50,0.078,10,2,0.75,0.3,15,0.75,0.02,0.4,50,0.225,24,10,0.5634,0.0328,plate_AL_1,K15
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,0.5511,0.0214,plate_AL_1,G18
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.75,0.1,2,50,0.225,8,10,0.5384,0.0941,plate_AL_1,J10
0.033,0.0204,50,0.026,10,2,0.45,0.3,15,0.15,0.1,0.4,50,0.375,8,10,0.5341,0.0438,plate_AL_1,D6
0.033,0.0204,50,0.026,10,2,0.45,0.5,3,0.15,0.1,1.2,50,0.225,8,10,0.5339,0.0275,plate_AL_1,C15
0.099,0.0068,50,0.026,10,2,0.45,0.3,9,0.75,0.02,0.4,50,0.375,40,10,0.5313,0.051,plate_AL_1,K3
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,80,10,0.5294,0.0772,plate_AL_1,C14
