nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,13225,13319,13320,A2,A8,A14,13288,44.5,0.5067,0.0027,plate_AL_8
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,9896,9687,9836,A3,A9,A15,9806.3,87.9,0.2938,0.0054,plate_AL_8
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,11341,11165,10990,A4,A10,A16,11165.3,143.3,0.3769,0.0088,plate_AL_8
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,8267,8362,7557,A5,A11,A17,8062,359.2,0.1872,0.022,plate_AL_8
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,4969,4971,5060,A6,A12,A18,5000,42.4,0,0.0026,plate_AL_8
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,5519,5605,5751,A7,A13,A19,5625,95.8,0.0382,0.0059,plate_AL_8
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.02,2,50,0.075,80,10,22315,21909,21797,B2,B3,B4,22007,222.5,1.0398,0.0136,plate_AL_8
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,32230,32384,32453,B5,B6,B7,32355.7,93.2,1.6724,0.0057,plate_AL_8
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,26563,27612,28007,B8,B9,B10,27394,609.3,1.3691,0.0373,plate_AL_8
0.099,0.0204,50,0.078,10,2,1.5,0.3,9,0.15,0.02,4,50,0.225,80,10,32544,33212,33662,B11,B13,B15,33139.3,459.3,1.7204,0.0281,plate_AL_8
0.033,0.0068,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.225,80,10,29054,28340,28842,B12,B14,B16,28745.3,299.4,1.4517,0.0183,plate_AL_8
0.033,0.0204,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,28943,28690,28006,B17,B19,B21,28546.3,395.8,1.4396,0.0242,plate_AL_8
0.033,0.034,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,33906,32492,30766,B18,B20,B22,32388,1284,1.6744,0.0785,plate_AL_8
0.033,0.068,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.225,80,10,29866,25703,24179,B23,C3,C5,26582.7,2403.6,1.3195,0.1469,plate_AL_8
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.225,80,10,30098,28292,28110,C2,C4,C6,28833.3,897.3,1.4571,0.0549,plate_AL_8
0.033,0.034,50,0.078,10,2,1.5,0.5,9,0.15,0.06,4,50,0.225,80,10,25969,26193,25341,C7,C8,C9,25834.3,360.6,1.2738,0.022,plate_AL_8
0.33,0.0068,50,0.13,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,25101,29973,30219,C10,C14,C18,28431,2356.8,1.4325,0.1441,plate_AL_8
0.033,0.0068,50,0.13,10,2,1.5,1,9,0.15,0.06,4,50,0.075,80,10,7206,9222,8554,C11,C15,C19,8327.3,838.5,0.2034,0.0513,plate_AL_8
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.225,80,10,28278,33337,32935,C12,C16,C20,31516.7,2296,1.6212,0.1404,plate_AL_8
0.33,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.02,4,50,0.225,80,10,33050,31510,32954,C13,C17,C21,32504.7,704.4,1.6816,0.0431,plate_AL_8
0.033,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.06,4,50,0.225,80,10,25322,29274,27432,C22,D5,D10,27342.7,1614.6,1.366,0.0987,plate_AL_8
