original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
AB,ORI,C2,A2,0.372,0.0451,0.6538,0.0167,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
AB,ORI,C3,A3,0.4099,0.0292,0.3457,0.0059,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
AB,ORI,C4,A4,0.3165,0.0094,0.475,0.015,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
AB,ORI,C5,A5,0.1929,0.0017,0.3063,0.009,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
AB,ORI,C6,A6,0,0.0015,0,0.0063,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
AB,ORI,C7,A7,0.0349,0.007,0.0459,0.0051,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
AB,ORI,N2,P2,0.4605,0.0267,0.9098,0.0052,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
AB,ORI,N3,P3,0.456,0.0474,1,0.0384,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
AB,ORI,N4,P4,0.3874,0.0618,0.9052,0.0612,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
AB,ORI,N5,P5,0.5874,0.0507,1.0627,0.0528,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
AB,ORI,N6,P6,1.9231,0.1295,2.1281,0.1242,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
AB,ORI,N7,P7,1.9234,0.0652,2.0102,0.1476,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
AB,ORI,N8,P8,1.8891,0.1146,1.9482,0.293,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
DH5,ORI,D2,A2,0.8384,0.0345,0.6538,0.0167,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
DH5,ORI,D3,A3,1.1762,0.0724,0.3457,0.0059,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
DH5,ORI,D4,A4,0.7451,0.0399,0.475,0.015,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
DH5,ORI,D5,A5,0.8491,0.0279,0.3063,0.009,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
DH5,ORI,D6,A6,0,0.013,0,0.0063,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
DH5,ORI,D7,A7,0.3002,0.0213,0.0459,0.0051,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
DH5,ORI,M2,P2,1.6899,0.1041,0.9098,0.0052,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
DH5,ORI,M3,P3,1.844,0.0968,1,0.0384,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
DH5,ORI,M4,P4,1.788,0.1904,0.9052,0.0612,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
DH5,ORI,M5,P5,1.966,0.0567,1.0627,0.0528,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
DH5,ORI,M6,P6,1.6001,0.0922,2.1281,0.1242,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
DH5,ORI,M7,P7,1.7165,0.0451,2.0102,0.1476,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
DH5,ORI,M8,P8,1.8797,0.1123,1.9482,0.293,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
PS,ORI,B2,A2,0.6377,0.0297,0.6538,0.0167,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
PS,ORI,B3,A3,0.478,0.0293,0.3457,0.0059,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
PS,ORI,B4,A4,0.4173,0.0292,0.475,0.015,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
PS,ORI,B5,A5,0.2517,0.0016,0.3063,0.009,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
PS,ORI,B6,A6,0,0.0037,0,0.0063,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
PS,ORI,B7,A7,0.0959,0.0124,0.0459,0.0051,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
PS,ORI,O2,P2,1.0519,0.0851,0.9098,0.0052,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
PS,ORI,O3,P3,1.0457,0.098,1,0.0384,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
PS,ORI,O4,P4,0.6605,0.0879,0.9052,0.0612,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
PS,ORI,O5,P5,1.1698,0.1406,1.0627,0.0528,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
PS,ORI,O6,P6,2.8805,0.0878,2.1281,0.1242,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
PS,ORI,O7,P7,2.7563,0.0555,2.0102,0.1476,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
PS,ORI,O8,P8,2.8307,0.1813,1.9482,0.293,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
