nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,10561.0,12397.0,12552.0,C2,C8,C14,11836.7,904.2,0.372,0.0451,AB
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,12136.0,13424.0,12232.0,C3,C9,C15,12597.3,585.9,0.4099,0.0292,AB
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,10477.0,10932.0,10768.0,C4,C10,C16,10725.7,188.1,0.3165,0.0094,AB
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,8298.0,8225.0,8223.0,C5,C11,C17,8248.7,34.9,0.1929,0.0017,AB
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,4417.0,4345.0,4384.0,C6,C12,C18,4382.0,29.4,-0.0,0.0015,AB
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,5236.0,5111.0,4898.0,C7,C13,C19,5081.7,139.5,0.0349,0.007,AB
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,14238.0,13659.0,12932.0,N2,N9,N16,13609.7,534.3,0.4605,0.0267,AB
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,12661.0,14843.0,13056.0,N3,N10,N17,13520.0,949.3,0.456,0.0474,AB
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,10997.0,11575.0,13864.0,N4,N11,N18,12145.3,1238.0,0.3874,0.0618,AB
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,14897.0,16180.0,17385.0,N5,N12,N19,16154.0,1015.9,0.5874,0.0507,AB
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,44343.0,45140.0,39281.0,N6,N13,N20,42921.3,2594.6,1.9231,0.1295,AB
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,44673.0,42583.0,41529.0,N7,N14,N21,42928.3,1306.6,1.9234,0.0652,AB
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,42276.0,39410.0,45036.0,N8,N15,N22,42240.7,2296.9,1.8891,0.1146,AB
