nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,17221.0,17773.0,17998.0,A2,A8,A14,17664.0,326.4,0.6538,0.0167,ORI
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,11499.0,11781.0,11664.0,A3,A9,A15,11648.0,115.7,0.3457,0.0059,ORI
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,14001.0,14583.0,13931.0,A4,A10,A16,14171.7,292.3,0.475,0.015,ORI
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,11031.0,10973.0,10634.0,A5,A11,A17,10879.3,175.1,0.3063,0.009,ORI
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,5042.0,4913.0,4741.0,A6,A12,A18,4898.7,123.3,0.0,0.0063,ORI
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,5662.0,5817.0,5905.0,A7,A13,A19,5794.7,100.5,0.0459,0.0051,ORI
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,22804.0,22594.0,22586.0,P2,P9,P16,22661.3,100.9,0.9098,0.0052,ORI
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,24606.0,25235.0,23426.0,P3,P10,P17,24422.3,749.9,1.0,0.0384,ORI
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,22288.0,21271.0,24155.0,P4,P11,P18,22571.3,1194.3,0.9052,0.0612,ORI
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,24282.0,25885.0,26775.0,P5,P12,P19,25647.3,1031.5,1.0627,0.0528,ORI
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,44329.0,45171.0,49841.0,P6,P13,P20,46447.0,2424.4,2.1281,0.1242,ORI
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,41938.0,42280.0,48215.0,P7,P14,P21,44144.3,2881.8,2.0102,0.1476,ORI
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,49848.0,35841.0,43113.0,P8,P15,P22,42934.0,5719.7,1.9482,0.293,ORI
