nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,0.6538,0.0167
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.3457,0.0059
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.475,0.015
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.3063,0.009
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.0459,0.0051
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.9098,0.0052
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,1.0,0.0384
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.9052,0.0612
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,1.0627,0.0528
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.1281,0.1242
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,2.0102,0.1476
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.9482,0.293
