nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,16127.0,17251.0,17541.0,B2,B8,B14,16973.0,609.8,0.6377,0.0297,PS
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,12861.0,14269.0,13943.0,B3,B9,B15,13691.0,601.8,0.478,0.0293,PS
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,12519.0,13137.0,11672.0,B4,B10,B16,12442.7,600.5,0.4173,0.0292,PS
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,9009.0,9021.0,9084.0,B5,B11,B17,9038.0,32.9,0.2517,0.0016,PS
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,3884.0,3944.0,3763.0,B6,B12,B18,3863.7,75.3,-0.0,0.0037,PS
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,5512.0,5860.0,6136.0,B7,B13,B19,5836.0,255.3,0.0959,0.0124,PS
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,23713.0,24885.0,27868.0,O2,O9,O16,25488.7,1749.2,1.0519,0.0851,PS
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,28041.0,24864.0,23182.0,O3,O10,O17,25362.3,2014.7,1.0457,0.098,PS
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,15318.0,17279.0,19733.0,O4,O11,O18,17443.3,1806.2,0.6605,0.0879,PS
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,23882.0,29339.0,30516.0,O5,O12,O19,27912.3,2890.1,1.1698,0.1406,PS
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,60687.0,65040.0,63523.0,O6,O13,O20,63083.3,1804.1,2.8805,0.0878,PS
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,59264.0,62028.0,60294.0,O7,O14,O21,60528.7,1140.5,2.7563,0.0555,PS
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,57833.0,66900.0,61443.0,O8,O15,O22,62058.7,3727.1,2.8307,0.1813,PS
