nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.6377,0.0297,PS,B2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.478,0.0293,PS,B3
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.4173,0.0292,PS,B4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.2517,0.0016,PS,B5
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.0037,PS,B6
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.0959,0.0124,PS,B7
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,1.0519,0.0851,PS,O2
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,1.0457,0.098,PS,O3
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.6605,0.0879,PS,O4
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,1.1698,0.1406,PS,O5
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.8805,0.0878,PS,O6
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.7563,0.0555,PS,O7
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.8307,0.1813,PS,O8
