nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,name
0.033,0.0068,50.0,0.026,10,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10,B2
0.165,0.0068,50.0,0.026,10,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10,B3
0.099,0.0204,50.0,0.078,10,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10,B4
0.033,0.0204,50.0,0.078,10,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10,B5
0.33,0.068,0.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,B6
0.33,0.068,50.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,B7
0.033,0.0068,50.0,0.026,10,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10,B8
0.165,0.0068,50.0,0.026,10,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10,B9
0.099,0.0204,50.0,0.078,10,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10,B10
0.033,0.0204,50.0,0.078,10,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10,B11
0.33,0.068,0.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,B12
0.33,0.068,50.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,B13
0.033,0.0068,50.0,0.026,10,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10,B14
0.165,0.0068,50.0,0.026,10,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10,B15
0.099,0.0204,50.0,0.078,10,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10,B16
0.033,0.0204,50.0,0.078,10,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10,B17
0.33,0.068,0.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,B18
0.33,0.068,50.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,B19
