nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,name
0.033,0.0068,50.0,0.026,10,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10,D2
0.165,0.0068,50.0,0.026,10,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10,D3
0.099,0.0204,50.0,0.078,10,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10,D4
0.033,0.0204,50.0,0.078,10,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10,D5
0.33,0.068,0.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,D6
0.33,0.068,50.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,D7
0.033,0.0068,50.0,0.026,10,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10,D8
0.165,0.0068,50.0,0.026,10,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10,D9
0.099,0.0204,50.0,0.078,10,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10,D10
0.033,0.0204,50.0,0.078,10,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10,D11
0.33,0.068,0.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,D12
0.33,0.068,50.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,D13
0.033,0.0068,50.0,0.026,10,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10,D14
0.165,0.0068,50.0,0.026,10,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10,D15
0.099,0.0204,50.0,0.078,10,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10,D16
0.033,0.0204,50.0,0.078,10,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10,D17
0.33,0.068,0.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,D18
0.33,0.068,50.0,0.26,10,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10,D19
