name,Time_1,Time_2,Time_3,Time_4,Time_5
A2,18272,17844,17645,17501,17221
A3,9708,11773,11621,11615,11499
A4,14919,14710,14453,14338,14001
A5,9354,11494,11370,11214,11031
A6,4159,5130,5094,5069,5042
A7,5265,5756,5663,5663,5662
A8,19266,18812,18399,18148,17773
A9,10348,12188,12016,11931,11781
A10,15602,15297,15043,14882,14583
A11,9735,11479,11379,11268,10973
A12,4335,5053,4991,4941,4913
A13,5578,5979,5897,5832,5817
A14,19753,19244,18706,18438,17998
A15,10832,11941,11810,11649,11664
A16,14804,14511,14338,14182,13931
A17,9997,11185,10997,10801,10634
A18,4509,4805,4780,4745,4741
A19,5667,5887,5902,5898,5905
A20,364,367,368,365,359
A21,362,354,363,360,353
A22,363,361,360,360,355
A23,384,385,385,385,375
A24,OVER,OVER,OVER,OVER,60000
B2,17204,16912,16487,16460,16127
B3,13176,13326,13028,13022,12861
B4,13159,12967,12695,12695,12519
B5,9385,9535,9234,9172,9009
B6,3716,3903,3876,3914,3884
B7,5737,5910,5664,5618,5512
B8,18294,17957,17510,17570,17251
B9,14382,14668,14424,14481,14269
B10,13895,13703,13303,13296,13137
B11,9091,9643,9342,9185,9021
B12,3625,4032,4001,3979,3944
B13,6119,6286,6102,5987,5860
B14,18737,18414,18040,17858,17541
B15,13808,14204,14116,14050,13943
B16,12265,12116,11957,11813,11672
B17,9143,9631,9396,9204,9084
B18,3405,3869,3812,3774,3763
B19,6300,6405,6299,6187,6136
B20,366,352,360,360,357
B21,365,361,365,362,355
B22,372,368,372,369,368
B23,390,382,388,386,384
B24,OVER,OVER,OVER,OVER,60000
C2,11266,11114,10834,10719,10561
C3,12879,12711,12496,12358,12136
C4,11107,10957,10834,10640,10477
C5,8558,8624,8555,8437,8298
C6,4336,4508,4462,4422,4417
C7,5404,5375,5335,5302,5236
C8,13282,13062,12832,12568,12397
C9,13824,13934,13683,13567,13424
C10,11688,11506,11336,11171,10932
C11,8477,8612,8497,8371,8225
C12,4320,4450,4398,4363,4345
C13,5142,5218,5224,5185,5111
C14,13524,13228,13051,12779,12552
C15,12887,12752,12528,12444,12232
C16,11351,11105,10986,10896,10768
C17,8511,8451,8481,8320,8223
C18,4344,4415,4400,4385,4384
C19,4842,4986,4981,4964,4898
C20,365,368,366,366,363
C21,371,367,369,367,365
C22,369,372,370,366,365
C23,383,376,385,385,377
C24,OVER,OVER,OVER,OVER,60000
D2,21495,21095,20808,20503,20244
D3,27153,26935,26630,26448,26045
D4,18977,18780,18576,18417,18195
D5,21501,21249,21119,20925,20646
D6,4304,4546,4654,4710,4751
D7,9769,9862,9860,9875,9840
D8,22687,22338,21995,21856,21425
D9,29616,29252,28943,28571,28249
D10,20921,20574,20368,19989,20002
D11,22417,22158,22017,21482,21567
D12,3975,4135,4205,4190,4283
D13,10800,10917,10930,10736,10870
D14,23300,22871,22604,22325,21885
D15,30849,30546,30175,29943,29562
D16,20643,20229,20161,19958,19755
D17,22830,22585,22488,22310,21985
D18,3842,4058,4084,4097,4144
D19,10448,10491,10553,10578,10505
D20,361,353,365,363,362
D21,365,368,364,365,359
D22,359,356,364,362,359
D23,374,370,374,374,366
D24,OVER,OVER,OVER,OVER,60000
E2,OVER,OVER,OVER,OVER,60000
E3,OVER,OVER,OVER,OVER,60000
E4,OVER,OVER,OVER,OVER,60000
E5,384,381,385,383,380
E6,382,378,378,380,378
E7,357,361,361,360,355
E8,353,352,361,360,352
E9,354,353,353,355,350
E10,353,361,361,358,351
E11,364,362,366,364,357
E12,353,356,355,355,354
E13,381,379,381,380,373
E14,362,356,362,360,360
E15,353,354,356,355,352
E16,348,349,351,353,346
E17,352,357,357,358,348
E18,364,362,364,368,364
E19,364,369,371,368,364
E20,347,353,352,348,345
E21,354,355,356,355,352
E22,360,364,366,361,357
E23,363,366,369,367,360
E24,OVER,OVER,OVER,OVER,60000
F2,OVER,OVER,OVER,OVER,60000
F3,OVER,OVER,OVER,OVER,60000
F4,OVER,OVER,OVER,OVER,60000
F5,70728,72576,63924,62496,60564
F6,71820,71820,71736,70560,69048
F7,63924,63924,64008,63000,65184
F8,6411,6206,5945,5682,5534
F9,7108,7015,6851,6677,6532
F10,307,311,316,318,317
F11,355,356,355,354,351
F12,350,347,356,355,348
F13,357,360,362,361,352
F14,354,359,355,354,352
F15,360,364,361,363,356
F16,355,355,356,353,349
F17,349,354,355,353,348
F18,366,371,367,367,365
F19,369,370,372,368,362
F20,353,352,359,354,350
F21,357,353,357,357,353
F22,362,358,362,361,359
F23,366,369,368,369,365
F24,OVER,OVER,OVER,OVER,60000
G2,494,492,489,496,490
G3,483,480,479,478,472
G4,476,478,472,475,470
G5,382,382,382,380,373
G6,392,392,391,390,386
G7,366,366,369,366,361
G8,397,391,394,393,390
G9,394,388,391,388,383
G10,355,356,357,356,347
G11,355,358,359,359,350
G12,351,355,356,353,345
G13,353,354,356,358,350
G14,354,351,359,353,348
G15,351,354,354,353,346
G16,359,367,361,361,354
G17,382,382,385,380,374
G18,374,379,372,374,369
G19,376,376,380,376,369
G20,383,383,383,385,376
G21,356,363,360,360,351
G22,368,367,368,363,360
G23,430,426,428,425,427
G24,OVER,OVER,OVER,OVER,60000
H2,362,366,368,366,361
H3,356,363,364,365,357
H4,352,355,354,355,350
H5,376,380,379,376,370
H6,370,370,374,374,368
H7,348,354,353,351,344
H8,351,354,359,356,353
H9,385,386,387,387,382
H10,356,356,360,355,349
H11,356,351,356,356,350
H12,355,356,357,354,349
H13,352,349,355,353,344
H14,356,359,359,357,348
H15,370,363,370,368,364
H16,373,373,373,373,366
H17,371,372,377,376,366
H18,361,362,362,360,358
H19,359,359,364,363,358
H20,370,378,375,373,371
H21,367,367,370,370,365
H22,364,364,370,366,358
H23,363,368,367,368,360
H24,352,359,358,357,348
I2,355,367,369,364,360
I3,395,400,395,398,393
I4,356,355,359,357,350
I5,364,364,365,364,356
I6,358,364,360,362,355
I7,350,345,348,354,346
I8,342,348,349,348,342
I9,374,377,382,383,371
I10,359,356,361,358,354
I11,351,353,356,354,346
I12,351,355,356,354,343
I13,368,367,369,366,365
I14,355,357,360,358,352
I15,347,351,352,352,343
I16,364,370,369,367,359
I17,376,381,376,375,370
I18,343,359,358,359,347
I19,361,364,363,361,356
I20,375,374,378,373,368
I21,358,363,365,365,361
I22,363,366,365,364,357
I23,366,370,369,368,359
I24,363,365,369,367,355
J2,358,361,360,356,355
J3,350,363,363,360,354
J4,358,360,362,362,353
J5,357,353,357,358,347
J6,361,366,368,371,361
J7,349,356,357,355,348
J8,360,365,364,363,354
J9,364,367,371,370,364
J10,350,356,356,355,346
J11,352,355,357,354,348
J12,347,352,355,356,350
J13,347,347,350,352,346
J14,345,358,357,359,346
J15,352,356,360,357,350
J16,360,358,362,359,354
J17,387,390,389,386,382
J18,369,376,375,372,366
J19,374,377,378,379,373
J20,378,377,378,379,375
J21,365,371,365,368,357
J22,360,367,366,365,362
J23,364,363,366,367,359
J24,361,365,366,365,358
K2,357,363,362,362,355
K3,367,369,372,368,365
K4,367,373,369,372,363
K5,360,363,363,363,357
K6,351,357,353,352,345
K7,371,372,371,370,365
K8,343,357,358,358,351
K9,337,352,350,349,343
K10,351,356,353,355,350
K11,354,357,360,355,352
K12,412,413,414,406,410
K13,356,358,355,350,349
K14,352,361,358,352,353
K15,353,354,354,354,348
K16,351,351,355,353,347
K17,353,352,359,356,350
K18,357,356,360,355,348
K19,365,366,365,363,353
K20,364,368,364,362,359
K21,359,369,365,364,358
K22,384,394,394,390,385
K23,362,369,367,367,361
K24,363,371,374,369,365
L2,358,364,363,364,356
L3,362,365,367,368,370
L4,428,436,441,434,434
L5,362,363,372,371,367
L6,364,365,363,360,356
L7,348,354,355,351,344
L8,347,351,357,355,348
L9,351,351,352,355,349
L10,353,355,358,358,346
L11,355,354,358,359,352
L12,345,356,357,354,352
L13,355,357,362,360,350
L14,356,355,357,357,352
L15,353,353,356,353,350
L16,359,365,366,366,356
L17,354,358,361,362,353
L18,358,362,364,361,352
L19,360,360,362,363,352
L20,359,362,366,363,354
L21,358,370,372,373,364
L22,356,369,369,369,363
L23,363,364,370,369,362
L24,359,365,371,370,365
M2,37152,36530,36299,35969,35523
M3,42782,42409,42307,42136,42194
M4,41257,40852,40937,40841,41268
M5,47016,46427,46144,45724,45355
M6,35509,35132,34737,34428,33973
M7,39521,38905,38584,38117,37511
M8,44753,44128,43562,43236,42964
M9,38063,37909,37939,38128,38607
M10,44343,43876,43626,43459,43149
M11,34888,34532,34053,34794,35096
M12,43843,43412,43313,43248,43202
M13,39567,39147,38719,38411,38412
M14,40905,40410,39983,39632,39577
M15,45959,45151,44965,44534,44221
M16,40212,39868,40177,40355,40590
M17,40645,40035,39864,39323,38641
M18,44402,44742,44910,44579,44256
M19,43046,42918,42989,42954,42755
M20,38518,38225,37665,37283,36940
M21,40759,40265,39860,39399,39234
M22,40092,39383,39639,39142,38945
M23,365,371,372,369,365
M24,360,363,371,373,359
N2,14722,14613,14461,14361,14238
N3,12986,12971,12801,12731,12661
N4,11392,11300,11152,11045,10997
N5,15261,15130,15113,15001,14897
N6,45545,45250,45259,44576,44343
N7,46243,45709,45495,44917,44673
N8,43557,43287,42986,42848,42276
N9,14157,13988,13865,13749,13659
N10,15294,15165,15042,14960,14843
N11,11963,11793,11677,11637,11575
N12,16684,16630,16439,16314,16180
N13,46417,46179,45771,45397,45140
N14,44058,43756,43469,43131,42583
N15,40541,40533,40173,39929,39410
N16,13272,13187,13125,13025,12932
N17,13479,13359,13259,13133,13056
N18,14430,14193,14071,13928,13864
N19,17883,17756,17676,17440,17385
N20,40323,40153,39915,39597,39281
N21,42379,42370,42320,42049,41529
N22,46522,45976,45728,45470,45036
N23,363,371,372,371,365
N24,368,376,373,375,368
O2,24553,24327,24114,23969,23713
O3,28414,28539,28434,28231,28041
O4,16201,16012,15757,15456,15318
O5,24400,24525,24299,24048,23882
O6,62717,62431,62011,61272,60687
O7,61621,60839,60376,59779,59264
O8,59631,59364,58992,58294,57833
O9,26808,26348,25735,25188,24885
O10,26715,26120,25724,25347,24864
O11,17907,17764,17524,17385,17279
O12,30264,30198,29935,29623,29339
O13,68900,66059,66758,66059,65040
O14,63908,63683,63038,62574,62028
O15,66709,66708,66006,67890,66900
O16,28417,28397,28190,28089,27868
O17,24348,24138,23789,23514,23182
O18,20792,20579,20274,19899,19733
O19,31671,31448,31249,30854,30516
O20,65248,65255,64663,64072,63523
O21,61987,61723,61425,60749,60294
O22,64609,63888,62787,62062,61443
O23,365,372,375,371,369
O24,456,449,455,453,450
P2,23584,23503,22999,23028,22804
P3,25130,25339,24986,24933,24606
P4,22795,22745,22231,22432,22288
P5,24731,24778,24243,24434,24282
P6,45712,45852,44594,44828,44329
P7,43431,43399,42682,42590,41938
P8,51517,51300,50717,50268,49848
P9,22956,23098,22907,22831,22594
P10,26032,26015,25804,25529,25235
P11,21471,21609,21547,21357,21271
P12,26327,26438,26293,26196,25885
P13,46595,46405,46035,45633,45171
P14,43524,43554,42902,42774,42280
P15,36963,36995,36223,36428,35841
P16,22830,22948,22563,22728,22586
P17,23723,23852,23457,23564,23426
P18,25437,24679,24447,24239,24155
P19,28312,27813,27427,27049,26775
P20,51548,51393,50901,50498,49841
