original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
double_DNA_to_PS,PS_to_PS,B2,A2,2.2208,0.07,0.5707,0.0122,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
double_DNA_to_PS,PS_to_PS,B3,A3,2.4728,0.187,0.5908,0.061,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
double_DNA_to_PS,PS_to_PS,B4,A4,0.8162,0.1054,0.3304,0.0284,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
double_DNA_to_PS,PS_to_PS,B5,A5,0.6737,0.1675,0.1989,0.0588,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
double_DNA_to_PS,PS_to_PS,B6,A6,0,0.0163,0,0.0164,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
double_DNA_to_PS,PS_to_PS,B7,A7,0.3749,0.0066,0.0895,0.0201,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
double_DNA_to_PS,PS_to_PS,O2,P2,1.9783,0.303,0.6361,0.1521,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
double_DNA_to_PS,PS_to_PS,O3,P3,3.2565,0.2724,1,0.1315,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
double_DNA_to_PS,PS_to_PS,O4,P4,1.3099,0.1062,0.5365,0.0506,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
double_DNA_to_PS,PS_to_PS,O5,P5,2.9657,0.2094,0.9936,0.0816,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
double_DNA_to_PS,PS_to_PS,O6,P6,6.0845,0.3978,2.515,0.1189,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
double_DNA_to_PS,PS_to_PS,O7,P7,5.9249,0.1265,2.2879,0.127,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
double_DNA_to_PS,PS_to_PS,O8,P8,5.3646,0.2618,2.2498,0.2389,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
spectinomycin_PS,PS_to_PS,C2,A2,0.1978,0.045,0.5707,0.0122,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
spectinomycin_PS,PS_to_PS,C3,A3,0.1648,0.0581,0.5908,0.061,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
spectinomycin_PS,PS_to_PS,C4,A4,0.1419,0.0363,0.3304,0.0284,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
spectinomycin_PS,PS_to_PS,C5,A5,0.0874,0.0367,0.1989,0.0588,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
spectinomycin_PS,PS_to_PS,C6,A6,0,0.014,0,0.0164,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
spectinomycin_PS,PS_to_PS,C7,A7,0.0465,0.004,0.0895,0.0201,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
spectinomycin_PS,PS_to_PS,N2,P2,0.1715,0.0156,0.6361,0.1521,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
spectinomycin_PS,PS_to_PS,N3,P3,0.1556,0.0113,1,0.1315,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
spectinomycin_PS,PS_to_PS,N4,P4,0.2228,0.0169,0.5365,0.0506,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
spectinomycin_PS,PS_to_PS,N5,P5,0.197,0.0134,0.9936,0.0816,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
spectinomycin_PS,PS_to_PS,N6,P6,0.213,0.0144,2.515,0.1189,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
spectinomycin_PS,PS_to_PS,N7,P7,0.213,0.0196,2.2879,0.127,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
spectinomycin_PS,PS_to_PS,N8,P8,0.2397,0.0308,2.2498,0.2389,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
rifaxamin_to_PS,PS_to_PS,D2,A2,0.0936,0.0344,0.5707,0.0122,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
rifaxamin_to_PS,PS_to_PS,D3,A3,0.0558,0.0023,0.5908,0.061,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
rifaxamin_to_PS,PS_to_PS,D4,A4,0.0525,0.0049,0.3304,0.0284,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
rifaxamin_to_PS,PS_to_PS,D5,A5,0.0448,0.0049,0.1989,0.0588,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
rifaxamin_to_PS,PS_to_PS,D6,A6,0,0.0015,0,0.0164,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
rifaxamin_to_PS,PS_to_PS,D7,A7,0.031,0.0052,0.0895,0.0201,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
rifaxamin_to_PS,PS_to_PS,M2,P2,0.0837,0.0098,0.6361,0.1521,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
rifaxamin_to_PS,PS_to_PS,M3,P3,0.0988,0.0087,1,0.1315,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
rifaxamin_to_PS,PS_to_PS,M4,P4,0.1256,0.0076,0.5365,0.0506,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
rifaxamin_to_PS,PS_to_PS,M5,P5,0.1256,0.0164,0.9936,0.0816,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
rifaxamin_to_PS,PS_to_PS,M6,P6,0.2428,0.0316,2.515,0.1189,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
rifaxamin_to_PS,PS_to_PS,M7,P7,0.2384,0.0258,2.2879,0.127,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
rifaxamin_to_PS,PS_to_PS,M8,P8,0.1834,0.0109,2.2498,0.2389,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
