nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,0.5707,0.0122
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.5908,0.061
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.3304,0.0284
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.1989,0.0588
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.0895,0.0201
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.6361,0.1521
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,1.0,0.1315
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.5365,0.0506
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,0.9936,0.0816
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.515,0.1189
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,2.2879,0.127
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.2498,0.2389
