nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,17693.0,17085.0,16493.0,B2,B8,B14,17090.3,489.9,2.2208,0.07,double_DNA
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,20705.0,18004.0,17856.0,B3,B9,B15,18855.0,1309.5,2.4728,0.187,double_DNA
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,7961.0,7567.0,6236.0,B4,B10,B16,7254.7,738.0,0.8162,0.1054,double_DNA
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,7502.0,6585.0,4685.0,B5,B11,B17,6257.3,1173.1,0.6737,0.1675,double_DNA
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,1517.0,1413.0,1689.0,B6,B12,B18,1539.7,113.8,0.0,0.0163,double_DNA
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,4101.0,4184.0,4210.0,B7,B13,B19,4165.0,46.5,0.3749,0.0066,double_DNA
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,12729.0,17921.0,15527.0,O2,O9,O16,15392.3,2121.8,1.9783,0.303,double_DNA
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,23734.0,26923.0,22372.0,O3,O10,O17,24343.0,1907.2,3.2565,0.2724,double_DNA
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,11743.0,10376.0,10017.0,O4,O11,O18,10712.0,743.6,1.3099,0.1062,double_DNA
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,23706.0,22932.0,20282.0,O5,O12,O19,22306.7,1466.1,2.9657,0.2094,double_DNA
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,46581.0,45610.0,40246.0,O6,O13,O20,44145.7,2785.8,6.0845,0.3978,double_DNA
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,43595.0,43712.0,41777.0,O7,O14,O21,43028.0,885.9,5.9249,0.1265,double_DNA
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,40123.0,40660.0,36530.0,O8,O15,O22,39104.3,1833.5,5.3646,0.2618,double_DNA
