nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,2011.0,2208.0,1607.0,D2,D8,D14,1942.0,250.2,0.0936,0.0344,rifaxamin
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,1689.0,1649.0,1663.0,D3,D9,D15,1667.0,16.6,0.0558,0.0023,rifaxamin
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,1604.0,1634.0,1690.0,D4,D10,D16,1642.7,35.6,0.0525,0.0049,rifaxamin
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,1554.0,1636.0,1569.0,D5,D11,D17,1586.3,35.6,0.0448,0.0049,rifaxamin
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,1271.0,1265.0,1245.0,D6,D12,D18,1260.3,11.1,-0.0,0.0015,rifaxamin
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,1539.0,1466.0,1453.0,D7,D13,D19,1486.0,37.9,0.031,0.0052,rifaxamin
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,1779.0,1953.0,1877.0,M2,M9,M16,1869.7,71.2,0.0837,0.0098,rifaxamin
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,2046.0,1999.0,1895.0,M3,M10,M17,1980.0,63.1,0.0988,0.0087,rifaxamin
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,2251.0,2121.0,2152.0,M4,M11,M18,2174.7,55.4,0.1256,0.0076,rifaxamin
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,2307.0,2200.0,2018.0,M5,M12,M19,2175.0,119.3,0.1256,0.0164,rifaxamin
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,3314.0,3020.0,2751.0,M6,M13,M20,3028.3,229.9,0.2428,0.0316,rifaxamin
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,3204.0,3035.0,2749.0,M7,M14,M21,2996.0,187.8,0.2384,0.0258,rifaxamin
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,2706.0,2560.0,2522.0,M8,M15,M22,2596.0,79.3,0.1834,0.0109,rifaxamin
