nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,2804.0,3403.0,3465.0,C2,C8,C14,3224.0,298.1,0.1978,0.045,spectinomycin
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,2461.0,3277.0,3278.0,C3,C9,C15,3005.3,384.9,0.1648,0.0581,spectinomycin
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,2550.0,2872.0,3138.0,C4,C10,C16,2853.3,240.4,0.1419,0.0363,spectinomycin
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,2744.0,2570.0,2163.0,C5,C11,C17,2492.3,243.5,0.0874,0.0367,spectinomycin
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,1850.0,1844.0,2044.0,C6,C12,C18,1912.7,92.9,0.0,0.014,spectinomycin
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,2238.0,2241.0,2184.0,C7,C13,C19,2221.0,26.2,0.0465,0.004,spectinomycin
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,2986.0,3195.0,2967.0,N2,N9,N16,3049.3,103.3,0.1715,0.0156,spectinomycin
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,2977.0,3015.0,2840.0,N3,N10,N17,2944.0,75.2,0.1556,0.0113,spectinomycin
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,3266.0,3366.0,3537.0,N4,N11,N18,3389.7,111.9,0.2228,0.0169,spectinomycin
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,3170.0,3142.0,3343.0,N5,N12,N19,3218.3,88.9,0.197,0.0134,spectinomycin
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,3401.0,3384.0,3190.0,N6,N13,N20,3325.0,95.7,0.213,0.0144,spectinomycin
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,3478.0,3336.0,3160.0,N7,N14,N21,3324.7,130.1,0.213,0.0196,spectinomycin
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,3730.0,3542.0,3234.0,N8,N15,N22,3502.0,204.5,0.2397,0.0308,spectinomycin
