row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,158.0,210.6,165.7,429.4,100.1,100.5,158.0,210.6,165.7,429.4,100.1,100.5,158.0,210.6,165.7,429.4,100.1,100.5,0,0,0,0
B,446.2,446.2,446.2,156.3,156.3,156.3,43.8,43.8,43.8,658.0,658.0,658.0,53.9,53.9,53.9,266.6,266.6,266.6,63.4,63.4,63.4,82.6
C,82.6,82.6,187.9,220.3,220.3,187.9,220.3,402.1,187.9,402.1,402.1,138.2,138.2,138.2,86.5,266.9,86.5,266.9,86.5,266.9,406.4,406.4
D,406.4,296.4,296.4,296.4,296.6,296.6,296.6,178.3,187.5,653.0,178.3,187.5,653.0,178.3,187.5,653.0,425.7,403.4,425.7,403.4,425.7,403.4
E,468.9,468.9,468.9,294.7,294.7,294.7,750.6,146.2,750.6,146.2,750.6,146.2,64.2,64.2,64.2,520.4,1059.5,1369.9,520.4,1059.5,1369.9,520.4
F,1059.5,1369.9,52.0,52.0,52.0,371.6,371.6,371.6,130.6,661.9,130.6,661.9,130.6,661.9,520.1,520.1,520.1,432.0,432.0,432.0,137.5,137.5
G,137.5,193.0,193.0,193.0,130.1,111.9,130.1,111.9,130.1,111.9,41.4,41.4,41.4,124.4,124.4,124.4,281.8,281.8,281.8,348.5,348.5,348.5
H,276.8,108.7,81.7,276.8,108.7,81.7,276.8,108.7,81.7,198.2,198.2,198.2,100.4,100.4,100.4,231.5,231.5,231.5,221.6,234.2,254.4,104.0
I,221.6,234.2,254.4,104.0,221.6,234.2,254.4,104.0,101.5,101.5,101.5,225.2,225.2,225.2,49.9,49.9,49.9,138.0,544.4,138.0,544.4,138.0
J,544.4,444.3,444.3,444.3,141.3,141.3,141.3,367.0,121.6,173.6,367.0,121.6,173.6,367.0,121.6,173.6,61.7,61.7,61.7,496.5,496.5,496.5
K,327.9,389.3,327.9,389.3,327.9,389.3,62.6,62.6,62.6,37.4,37.4,37.4,46.2,46.2,46.2,161.5,161.5,161.5,199.4,199.4,199.4,218.8
L,465.9,215.3,218.8,465.9,215.3,218.8,465.9,215.3,179.5,464.9,100.8,179.5,464.9,100.8,179.5,464.9,100.8,167.1,356.4,167.1,356.4,167.1
M,356.4,9.6,193.5,9.6,193.5,9.6,193.5,357.8,577.1,357.8,577.1,357.8,577.1,142.9,142.9,142.9,107.5,107.5,107.5,261.9,261.9,261.9
N,560.9,560.9,560.9,288.8,211.4,358.2,229.7,611.2,288.8,211.4,358.2,229.7,611.2,288.8,211.4,358.2,229.7,611.2,931.2,608.9,931.2,608.9
O,931.2,608.9,77.7,77.7,77.7,418.7,212.8,418.7,212.8,418.7,212.8,223.7,223.7,223.7,139.6,139.6,139.6,21.3,21.3,21.3,0,0
P,351.2,448.4,222.6,157.2,441.2,689.1,206.4,351.2,448.4,222.6,157.2,441.2,689.1,206.4,351.2,448.4,222.6,157.2,441.2,689.1,206.4,0
