nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,2739,2735,2692,O19,O20,O21,2722,21.3,-0.0284,0.0049,rifaxamin
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,2900,2933,2706,A6,A12,A18,2846.3,100.1,0,0.0229,rifaxamin
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,4650,4409,4486,A7,A13,A19,4515,100.5,0.3813,0.023,rifaxamin
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,5922,5520,5441,A3,A9,A15,5627.7,210.6,0.6355,0.0481,rifaxamin
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,5967,6098,5302,G21,G22,G23,5789,348.5,0.6724,0.0796,rifaxamin
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,6161,6190,5265,A5,A11,A17,5872,429.4,0.6913,0.0981,rifaxamin
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,6226,5301,6522,F16,F17,F18,6016.3,520.1,0.7243,0.1188,rifaxamin
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,6074,6524,5625,J9,J12,J15,6074.3,367,0.7375,0.0839,rifaxamin
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,6419,6104,6014,J11,J14,J17,6179,173.6,0.7615,0.0397,rifaxamin
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,5753,6481,6411,K2,K4,K6,6215,327.9,0.7697,0.0749,rifaxamin
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,6611,6124,6116,H17,H18,H19,6283.7,231.5,0.7854,0.0529,rifaxamin
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,5953,6768,6599,P2,P9,P16,6440,351.2,0.8211,0.0802,rifaxamin
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,6441,6485,6675,I10,I11,I12,6533.7,101.5,0.8425,0.0232,rifaxamin
