name,Time_1,Time_2,Time_3,Time_4,Time_5
A2,8332,8849,8588,8375,8153
A3,6946,6878,6468,6148,5922
A4,7043,7866,7791,7755,7689
A5,5423,6586,6378,6270,6161
A6,2418,3000,2965,2927,2900
A7,3464,5027,4889,4788,4650
A8,8187,8865,8667,8564,8322
A9,7927,6334,6074,5770,5520
A10,7030,7539,7470,7469,7385
A11,5597,6689,6469,6295,6190
A12,2588,3063,3021,2974,2933
A13,3550,4825,4658,4540,4409
A14,8483,8137,8964,8727,8539
A15,7500,6356,5985,5714,5441
A16,6764,7926,7871,7832,7770
A17,5024,5541,5376,5293,5265
A18,2410,2790,2753,2729,2706
A19,3798,4759,4676,4593,4486
A20,388,384,382,385,379
A21,401,399,395,397,393
A22,392,383,383,381,382
A23,388,387,383,387,381
A24,408,409,408,405,405
B2,8975,8662,8394,8378,8021
B3,9476,9108,8818,8844,8607
B4,9852,9482,9300,9234,9113
B5,8928,8755,8587,8432,8285
B6,7647,7274,7212,7110,7942
B7,8759,8460,8266,8207,7966
B8,9406,9573,9243,8973,8804
B9,9336,9531,9167,8912,8743
B10,9432,9691,9296,9025,8850
B11,10653,10423,10302,10152,9993
B12,8254,8999,8849,8784,8549
B13,10560,10274,10140,9983,9891
B14,10995,11055,10536,10236,10007
B15,11128,11312,10760,10430,10139
B16,11085,11075,10635,10306,10077
B17,9064,9245,8942,8780,8551
B18,9682,9952,9588,9328,9204
B19,9531,9706,9299,9038,8880
B20,11499,11488,11051,10727,10530
B21,11201,11229,10851,10667,10443
B22,11345,11416,10924,10666,10375
B23,7268,7568,7278,7116,6991
B24,425,415,418,418,417
C2,7903,7956,7530,7329,7129
C3,7835,7894,7511,7339,7188
C4,9760,9671,9220,8977,8816
C5,12693,12685,12077,11721,11491
C6,11912,11806,11410,11111,11001
C7,9310,9387,8981,8703,8501
C8,11906,11824,11483,11230,11050
C9,12206,12244,11742,11432,11334
C10,9825,9779,9359,9084,8949
C11,12313,12250,11753,11499,11344
C12,13391,13077,12631,12335,12192
C13,8443,8663,8305,7969,7730
C14,7984,8212,7858,7598,7394
C15,8158,8336,7958,7730,7527
C16,10722,10673,10294,9994,9854
C17,8774,8756,8353,8083,7880
C18,10538,10404,10032,9790,9645
C19,8938,8829,8502,8227,8033
C20,10403,10305,10082,9891,9719
C21,8211,8111,7747,7544,7406
C22,10821,10496,10111,9876,9714
C23,9958,9693,9282,9075,8897
C24,433,426,425,425,426
D2,10001,9635,9230,9066,8813
D3,10947,10656,10212,9934,9664
D4,11146,10960,10585,10355,10082
D5,11685,11324,10874,10621,10387
D6,9831,9592,9188,8946,8704
D7,9053,8878,8447,8268,8086
D8,9044,8834,8444,8283,8064
D9,10550,10245,9791,9543,9350
D10,9722,9547,9191,8961,8751
D11,12310,11957,11600,11439,11239
D12,10463,10122,9738,9490,9307
D13,10317,10039,9599,9350,9155
D14,10912,10616,10183,9996,9802
D15,11019,10653,10104,9848,9705
D16,9753,9530,9159,8922,8764
D17,12283,12016,11638,11353,11129
D18,10189,9807,9333,9088,8914
D19,9864,9636,9162,8939,8815
D20,9253,9059,8655,8452,8264
D21,8812,8604,8289,8062,7886
D22,8772,8603,8297,8058,7883
D23,9164,8972,8517,8245,8059
D24,432,428,428,427,425
E2,10003,9703,9259,8887,8683
E3,10502,10132,9795,9427,9191
E4,9060,8833,8423,8128,8045
E5,13946,13299,12862,12393,12042
E6,13291,12757,12326,11901,11593
E7,12942,12393,11960,11597,11328
E8,15118,14363,13744,13155,12740
E9,13464,13034,12617,12173,11830
E10,13343,12676,12148,11665,11314
E11,13396,12852,12386,11956,11652
E12,12402,11999,11655,11292,11022
E13,13038,12493,12118,11769,11472
E14,11515,10975,10576,10220,9987
E15,11271,10765,10442,10107,9882
E16,11301,10771,10397,10045,9833
E17,12487,11785,11273,10713,10368
E18,11885,11349,10887,10430,10123
E19,11608,11289,10924,10574,10370
E20,13851,13042,12417,11855,11433
E21,12100,11612,11058,10641,10368
E22,11281,10924,10576,10241,9998
E23,12485,11709,11126,10590,10294
E24,433,431,433,431,428
F2,15125,14125,13498,12944,12483
F3,15433,14654,14031,13573,13072
F4,14894,14083,13517,13016,12517
F5,14788,14116,13587,13024,12572
F6,14660,13929,13402,12848,12445
F7,15087,14171,13625,12985,12485
F8,13987,13330,12717,12114,11673
F9,14897,14082,13438,12880,12435
F10,10190,10125,10198,10199,10254
F11,11531,11079,10834,10687,10595
F12,10965,10952,10080,10116,10048
F13,12198,12133,12022,11973,11990
F14,10266,10287,10298,10368,10363
F15,12119,12115,12041,11991,12008
F16,7802,7185,6770,6437,6226
F17,6584,6131,5793,5469,5301
F18,8224,7614,7187,6806,6522
F19,10824,10897,10960,10919,10979
F20,10249,10183,10210,10130,10093
F21,10084,10041,10080,10074,10035
F22,9906,9633,9457,9275,9103
F23,9978,9645,9387,9161,9057
F24,441,437,442,437,441
G2,9476,9266,9042,8897,8791
G3,10824,10498,10149,9997,9810
G4,10594,10301,10011,9831,9690
G5,11266,10917,10529,10319,10146
G6,12185,11447,10758,10169,9768
G7,9766,9336,8953,8676,8469
G8,11812,11166,10494,10021,9740
G9,9508,9156,8757,8458,8333
G10,11427,10841,10183,9783,9479
G11,9608,9358,9031,8750,8607
G12,8279,7912,7556,7368,7216
G13,8214,7863,7555,7343,7281
G14,8428,7993,7669,7427,7316
G15,11050,10715,10377,10163,10088
G16,10479,10270,9989,9863,9788
G17,10776,10503,10235,10029,9984
G18,11828,11116,10417,9934,9578
G19,11853,11196,10529,10032,9656
G20,12436,11765,11066,10533,10211
G21,7585,7129,6639,6261,5967
G22,7774,7189,6643,6303,6098
G23,6774,6247,5786,5505,5302
G24,441,434,436,433,430
