original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
spectinomycin,spectinomycin_to_PS,A6,C6,0,0.0795,0,0.014,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
spectinomycin,spectinomycin_to_PS,A7,C7,0.0579,0.0214,0.0465,0.004,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
spectinomycin,spectinomycin_to_PS,A5,C5,0.5917,0.1255,0.0874,0.0367,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
spectinomycin,spectinomycin_to_PS,A3,C3,0.7841,0.1871,0.1648,0.0581,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
spectinomycin,spectinomycin_to_PS,A4,C4,0.7984,0.0549,0.1419,0.0363,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
spectinomycin,spectinomycin_to_PS,P4,N4,0.9161,0.0768,0.2228,0.0169,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
spectinomycin,spectinomycin_to_PS,A2,C2,0.9251,0.1164,0.1978,0.045,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
spectinomycin,spectinomycin_to_PS,P2,N2,0.9513,0.1605,0.1715,0.0156,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
spectinomycin,spectinomycin_to_PS,P3,N3,1,0.0675,0.1556,0.0113,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
spectinomycin,spectinomycin_to_PS,P5,N5,1.0319,0.2104,0.197,0.0134,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
spectinomycin,spectinomycin_to_PS,P6,N6,1.3825,0.095,0.213,0.0144,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
spectinomycin,spectinomycin_to_PS,P7,N7,1.3982,0.086,0.213,0.0196,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
spectinomycin,spectinomycin_to_PS,P8,N8,1.4431,0.1326,0.2397,0.0308,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
