nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,-0.0029,0.0143,spectinomycin,O19,0.029565,0.002145,0.03518235,0.00255255
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.0795,spectinomycin,A6,0.03,0.011925,0.0357,0.01419075
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.0579,0.0214,spectinomycin,A7,0.038685,0.00321,0.04603515,0.0038199
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.3945,0.0345,spectinomycin,J11,0.089175,0.005175,0.10611825,0.00615825
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.4184,0.0473,spectinomycin,I10,0.09276,0.007095,0.1103844,0.00844305
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.4258,0.0312,spectinomycin,G21,0.09387,0.00468,0.1117053,0.0055692
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.4372,0.0188,spectinomycin,H17,0.09558,0.00282,0.1137402,0.0033558
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.4542,0.0268,spectinomycin,K2,0.09813,0.00402,0.1167747,0.0047838
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.4675,0.0225,spectinomycin,J9,0.100125,0.003375,0.11914875,0.00401625
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,0.5125,0.0353,spectinomycin,O16,0.106875,0.005295,0.12718125,0.00630105
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.5138,0.0443,spectinomycin,F16,0.10707,0.006645,0.1274133,0.00790755
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.5917,0.1255,spectinomycin,A5,0.118755,0.018825,0.14131845,0.02240175
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,0.6083,0.0136,spectinomycin,B11,0.121245,0.00204,0.14428155,0.0024276
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,4,10,0.6152,0.0025,spectinomycin,C13,0.12228,0.000375,0.1455132,0.00044625
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,0.7047,0.0288,spectinomycin,J21,0.135705,0.00432,0.16148895,0.0051408
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,4,10,0.7396,0.0433,spectinomycin,B5,0.14094,0.006495,0.1677186,0.00772905
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.7841,0.1871,spectinomycin,A3,0.147615,0.028065,0.17566185,0.03339735
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.7984,0.0549,spectinomycin,A4,0.14976,0.008235,0.1782144,0.00979965
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,0.8014,0.0295,spectinomycin,J18,0.15021,0.004425,0.1787499,0.00526575
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,0.8375,0.0321,spectinomycin,G7,0.155625,0.004815,0.18519375,0.00572985
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.9161,0.0768,spectinomycin,P4,0.167415,0.01152,0.19922385,0.0137088
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.9251,0.1164,spectinomycin,A2,0.168765,0.01746,0.20083035,0.0207774
0.033,0.0068,50,0.026,10,2,0.45,0.3,15,0.15,0.1,2,50,0.225,20,10,0.9255,0.1108,spectinomycin,C17,0.168825,0.01662,0.20090175,0.0197778
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.9513,0.1605,spectinomycin,P2,0.172695,0.024075,0.20550705,0.02864925
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,4,10,0.9568,0.0389,spectinomycin,B2,0.17352,0.005835,0.2064888,0.00694365
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,20,10,0.9814,0.079,spectinomycin,B23,0.17721,0.01185,0.2108799,0.0141015
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,1,0.0675,spectinomycin,P3,0.18,0.010125,0.2142,0.01204875
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,1.0201,0.0478,spectinomycin,F19,0.183015,0.00717,0.21778785,0.0085323
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,1.0319,0.2104,spectinomycin,P5,0.184785,0.03156,0.21989415,0.0375564
