row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,871.1,1400.3,410.7,938.7,594.5,160.2,871.1,1400.3,410.7,938.7,594.5,160.2,871.1,1400.3,410.7,938.7,594.5,160.2,0,0,0,0
B,291.3,291.3,291.3,323.9,323.9,323.9,280.5,280.5,280.5,102.0,102.0,102.0,857.8,857.8,857.8,293.9,293.9,293.9,345.1,345.1,345.1,590.9
C,590.9,590.9,496.9,447.7,447.7,496.9,447.7,155.4,496.9,155.4,155.4,18.5,18.5,18.5,474.2,829.3,474.2,829.3,474.2,829.3,355.4,355.4
D,355.4,553.8,553.8,553.8,433.5,433.5,433.5,111.9,342.3,438.6,111.9,342.3,438.6,111.9,342.3,438.6,137.6,480.7,137.6,480.7,137.6,480.7
E,374.8,374.8,374.8,217.9,217.9,217.9,259.2,232.0,259.2,232.0,259.2,232.0,125.8,125.8,125.8,401.2,268.3,798.9,401.2,268.3,798.9,401.2
F,268.3,798.9,200.9,200.9,200.9,309.4,309.4,309.4,476.6,201.1,476.6,201.1,476.6,201.1,331.6,331.6,331.6,357.7,357.7,357.7,327.7,327.7
G,327.7,181.1,181.1,181.1,235.0,239.9,235.0,239.9,235.0,239.9,316.2,316.2,316.2,398.1,398.1,398.1,302.1,302.1,302.1,233.6,233.6,233.6
H,266.0,601.3,438.9,266.0,601.3,438.9,266.0,601.3,438.9,368.2,368.2,368.2,177.9,177.9,177.9,140.8,140.8,140.8,469.5,266.1,797.3,549.9
I,469.5,266.1,797.3,549.9,469.5,266.1,797.3,549.9,354.1,354.1,354.1,84.6,84.6,84.6,34.0,34.0,34.0,510.8,329.4,510.8,329.4,510.8
J,329.4,134.3,134.3,134.3,270.8,270.8,270.8,168.4,100.5,257.8,168.4,100.5,257.8,168.4,100.5,257.8,220.6,220.6,220.6,215.4,215.4,215.4
K,200.9,126.2,200.9,126.2,200.9,126.2,888.1,888.1,888.1,264.5,264.5,264.5,462.2,462.2,462.2,129.2,129.2,129.2,390.4,390.4,390.4,509.9
L,540.6,523.2,509.9,540.6,523.2,509.9,540.6,523.2,656.2,341.6,1076.6,656.2,341.6,1076.6,656.2,341.6,1076.6,1085.0,765.1,1085.0,765.1,1085.0
M,765.1,699.1,149.4,699.1,149.4,699.1,149.4,309.4,230.0,309.4,230.0,309.4,230.0,383.1,383.1,383.1,223.4,223.4,223.4,555.4,555.4,555.4
N,331.8,331.8,331.8,512.0,69.2,290.2,753.9,731.4,512.0,69.2,290.2,753.9,731.4,512.0,69.2,290.2,753.9,731.4,204.7,137.9,204.7,137.9
O,204.7,137.9,877.4,877.4,877.4,296.1,425.9,296.1,425.9,296.1,425.9,444.1,444.1,444.1,263.9,263.9,263.9,107.1,107.1,107.1,0,0
P,1200.8,505.4,574.9,1574.5,710.6,643.6,992.2,1200.8,505.4,574.9,1574.5,710.6,643.6,992.2,1200.8,505.4,574.9,1574.5,710.6,643.6,992.2,0
