nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,A2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,A3
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,A4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,A5
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,A6
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,A7
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,A8
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,A9
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,A10
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,A11
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,A12
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,A13
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,A14
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,A15
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,A16
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,A17
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,A18
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,A19
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,8,10,B2
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,8,10,B3
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,8,10,B4
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,8,10,B5
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,8,10,B6
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,8,10,B7
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,40,10,B8
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,40,10,B9
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,40,10,B10
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,8,10,B11
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,8,10,B12
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,8,10,B13
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,40,10,B14
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,40,10,B15
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,40,10,B16
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,40,10,B17
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,40,10,B18
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,40,10,B19
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,40,10,B20
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,40,10,B21
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,40,10,B22
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,40,10,B23
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,40,10,C2
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,40,10,C3
