row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,131.1,242.4,194.1,121.7,42.5,595.7,131.1,242.4,194.1,121.7,42.5,595.7,131.1,242.4,194.1,121.7,42.5,595.7,0,0,0,0
B,54.8,54.8,54.8,216.2,216.2,216.2,549.5,549.5,549.5,27.5,27.5,27.5,235.7,235.7,235.7,211.7,211.7,211.7,91.3,91.3,91.3,87.3
C,87.3,87.3,508.8,334.7,334.7,508.8,334.7,653.4,508.8,653.4,653.4,54.8,54.8,54.8,239.3,367.7,239.3,367.7,239.3,367.7,1348.9,1348.9
D,1348.9,372.4,372.4,372.4,126.5,126.5,126.5,215.3,113.2,409.2,215.3,113.2,409.2,215.3,113.2,409.2,182.6,252.8,182.6,252.8,182.6,252.8
E,488.8,488.8,488.8,355.1,355.1,355.1,649.6,107.9,649.6,107.9,649.6,107.9,2078.7,2078.7,2078.7,420.0,962.9,214.7,420.0,962.9,214.7,420.0
F,962.9,214.7,236.6,236.6,236.6,364.8,364.8,364.8,478.7,227.5,478.7,227.5,478.7,227.5,34.9,34.9,34.9,322.2,322.2,322.2,802.7,802.7
G,802.7,356.8,356.8,356.8,604.7,110.1,604.7,110.1,604.7,110.1,474.9,474.9,474.9,815.1,815.1,815.1,670.4,670.4,670.4,219.8,219.8,219.8
H,379.9,562.6,155.2,379.9,562.6,155.2,379.9,562.6,155.2,215.4,215.4,215.4,260.7,260.7,260.7,122.0,122.0,122.0,453.7,551.6,1670.4,1884.2
I,453.7,551.6,1670.4,1884.2,453.7,551.6,1670.4,1884.2,85.8,85.8,85.8,614.5,614.5,614.5,390.9,390.9,390.9,655.1,922.5,655.1,922.5,655.1
J,922.5,364.4,364.4,364.4,675.3,675.3,675.3,416.5,386.0,374.4,416.5,386.0,374.4,416.5,386.0,374.4,814.8,814.8,814.8,231.0,231.0,231.0
K,206.8,392.8,206.8,392.8,206.8,392.8,545.7,545.7,545.7,718.0,718.0,718.0,840.1,840.1,840.1,46.7,46.7,46.7,279.9,279.9,279.9,2210.5
L,1651.9,529.9,2210.5,1651.9,529.9,2210.5,1651.9,529.9,2030.0,1415.1,2121.9,2030.0,1415.1,2121.9,2030.0,1415.1,2121.9,672.6,610.6,672.6,610.6,672.6
M,610.6,225.9,554.7,225.9,554.7,225.9,554.7,350.9,2160.4,350.9,2160.4,350.9,2160.4,958.0,958.0,958.0,582.8,582.8,582.8,677.2,677.2,677.2
N,778.6,778.6,778.6,263.6,1003.2,707.0,1076.6,1483.9,263.6,1003.2,707.0,1076.6,1483.9,263.6,1003.2,707.0,1076.6,1483.9,206.5,969.6,206.5,969.6
O,206.5,969.6,448.7,448.7,448.7,754.5,1787.0,754.5,1787.0,754.5,1787.0,996.0,996.0,996.0,38.1,38.1,38.1,41.3,41.3,41.3,0,0
P,567.9,946.4,765.8,2607.9,1873.1,1474.2,990.8,567.9,946.4,765.8,2607.9,1873.1,1474.2,990.8,567.9,946.4,765.8,2607.9,1873.1,1474.2,990.8,0
