nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,9114,9435,9280,A2,A8,A14,9276.3,131.1,0.383,0.0072,example
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,5870,5654,5283,A3,A9,A15,5602.3,242.4,0.1819,0.0133,example
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,6080,5762,5615,A4,A10,A16,5819,194.1,0.1938,0.0106,example
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,3441,3581,3283,A5,A11,A17,3435,121.7,0.0633,0.0067,example
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,2287,2325,2222,A6,A12,A18,2278,42.5,0,0.0023,example
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,4138,3229,2695,A7,A13,A19,3354,595.7,0.0589,0.0326,example
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,40,10,17918,18777,17178,C9,C11,C12,17957.7,653.4,0.8582,0.0358,example
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,8,10,13955,13881,13821,B2,B3,B4,13885.7,54.8,0.6353,0.003,example
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,8,10,11109,11081,11553,B5,B6,B7,11247.7,216.2,0.4909,0.0118,example
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,40,10,14896,14384,13562,B8,B9,B10,14280.7,549.5,0.6569,0.0301,example
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,8,10,7660,7593,7621,B11,B12,B13,7624.7,27.5,0.2926,0.0015,example
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,40,10,16927,17047,16498,B14,B15,B16,16824,235.7,0.7961,0.0129,example
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,40,10,15417,14937,15007,B17,B18,B19,15120.3,211.7,0.7029,0.0116,example
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,40,10,17851,17810,18021,B20,B21,B22,17894,91.3,0.8547,0.005,example
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,40,10,14796,14629,14597,B23,C2,C3,14674,87.3,0.6785,0.0048,example
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,40,10,18189,17308,16985,C4,C7,C10,17494,508.8,0.8328,0.0278,example
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,40,10,18157,18967,18452,C5,C6,C8,18525.3,334.7,0.8893,0.0183,example
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,8,10,8472,8517,8385,C13,C14,C15,8458,54.8,0.3382,0.003,example
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,40,10,16559,16058,16572,C16,C18,C20,16396.3,239.3,0.7727,0.0131,example
0.033,0.0068,50,0.026,10,2,0.45,0.3,15,0.15,0.1,2,50,0.225,40,10,15742,15055,14894,C17,C19,C21,15230.3,367.7,0.7089,0.0201,example
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,16787,16788,19649,C22,C23,D2,17741.3,1348.9,0.8463,0.0738,example
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,40,10,18110,17558,17205,D3,D4,D5,17624.3,372.4,0.8399,0.0204,example
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,40,10,14724,14541,14416,D6,D7,D8,14560.3,126.5,0.6722,0.0069,example
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,18437,17937,18332,D9,D12,D15,18235.3,215.3,0.8734,0.0118,example
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,17384,17637,17412,D10,D13,D16,17477.7,113.2,0.8319,0.0062,example
