name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
B2,3.52,0.075,0.025,0.2625,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.8825000000000003
B3,3.52,0.075,0.025,0.2625,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.8825000000000003
B4,3.52,0.075,0.025,0.2625,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0375,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.8825000000000003
B5,3.52,0.025,0.025,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0125,0.0225,0.0625,1.75,0.0,0.0,0.0,3.8325
B6,3.52,0.025,0.025,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0125,0.0225,0.0625,1.75,0.0,0.0,0.0,3.8325
B7,3.52,0.025,0.025,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0125,0.0225,0.0625,1.75,0.0,0.0,0.0,3.8325
B8,3.52,0.025,0.125,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.7925
B9,3.52,0.025,0.125,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.7925
B10,3.52,0.025,0.125,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.7925
B11,3.52,0.075,0.025,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0375,0.0625,0.0375,0.0225,0.0125,1.75,0.0,0.0,0.0,3.7825
B12,3.52,0.075,0.025,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0375,0.0625,0.0375,0.0225,0.0125,1.75,0.0,0.0,0.0,3.7825
B13,3.52,0.075,0.025,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0375,0.0625,0.0375,0.0225,0.0125,1.75,0.0,0.0,0.0,3.7825
B14,3.52,0.075,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0125,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.7325
B15,3.52,0.075,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0125,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.7325
B16,3.52,0.075,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0125,0.0375,0.0225,0.0625,1.75,0.0,0.0,0.0,3.7325
B17,3.52,0.075,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0125,0.0125,0.0375,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.7175000000000002
B18,3.52,0.075,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0125,0.0125,0.0375,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.7175000000000002
B19,3.52,0.075,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0125,0.0125,0.0375,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.7175000000000002
B20,3.52,0.075,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.7125
B21,3.52,0.075,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.7125
B22,3.52,0.075,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.7125
B23,3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0125,0.0125,0.0125,0.0375,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6925
C2,3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0125,0.0125,0.0125,0.0375,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6925
C3,3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0125,0.0125,0.0125,0.0375,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6925
C4,3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C5,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C6,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C7,3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C8,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C9,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C10,3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C11,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C12,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6625
C13,3.52,0.125,0.025,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.0625,0.0625,0.0675,0.0375,1.75,0.0,0.0,0.0,3.6375
C14,3.52,0.125,0.025,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.0625,0.0625,0.0675,0.0375,1.75,0.0,0.0,0.0,3.6375
C15,3.52,0.125,0.025,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.0625,0.0625,0.0675,0.0375,1.75,0.0,0.0,0.0,3.6375
C16,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
