name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
A2,3.52,0.025,0.025,0.2625,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0225,0.0125,1.75,0.0,0.0,0.0,4.03
A3,3.52,0.025,0.075,0.2625,0.525,0.25,0.0125,0.0125,0.0625,0.0625,0.0125,0.0125,0.0675,0.0125,1.75,0.0,0.0,0.0,3.8375
A4,3.52,0.075,0.025,0.7875,0.525,0.25,0.0625,0.0375,0.0375,0.0375,0.0375,0.0625,0.0225,0.0125,1.75,0.0,0.0,0.0,3.2575000000000003
A5,3.52,0.125,0.075,0.7875,0.525,0.25,0.0375,0.0375,0.0125,0.0375,0.0375,0.0625,0.0675,0.0125,1.75,0.0,0.0,0.0,3.1625
A6,3.52,0.25,0.25,2.625,0.525,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.225,0.125,0.0,0.0,0.0,0.0,1.98
A7,3.52,0.25,0.25,2.625,0.525,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.225,0.125,1.75,0.0,0.0,0.0,0.23
A8,3.52,0.025,0.025,0.2625,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0225,0.0125,1.75,0.0,0.0,0.0,4.03
A9,3.52,0.025,0.075,0.2625,0.525,0.25,0.0125,0.0125,0.0625,0.0625,0.0125,0.0125,0.0675,0.0125,1.75,0.0,0.0,0.0,3.8375
A10,3.52,0.075,0.025,0.7875,0.525,0.25,0.0625,0.0375,0.0375,0.0375,0.0375,0.0625,0.0225,0.0125,1.75,0.0,0.0,0.0,3.2575000000000003
A11,3.52,0.125,0.075,0.7875,0.525,0.25,0.0375,0.0375,0.0125,0.0375,0.0375,0.0625,0.0675,0.0125,1.75,0.0,0.0,0.0,3.1625
A12,3.52,0.25,0.25,2.625,0.525,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.225,0.125,0.0,0.0,0.0,0.0,1.98
A13,3.52,0.25,0.25,2.625,0.525,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.225,0.125,1.75,0.0,0.0,0.0,0.23
A14,3.52,0.025,0.025,0.2625,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0225,0.0125,1.75,0.0,0.0,0.0,4.03
A15,3.52,0.025,0.075,0.2625,0.525,0.25,0.0125,0.0125,0.0625,0.0625,0.0125,0.0125,0.0675,0.0125,1.75,0.0,0.0,0.0,3.8375
A16,3.52,0.075,0.025,0.7875,0.525,0.25,0.0625,0.0375,0.0375,0.0375,0.0375,0.0625,0.0225,0.0125,1.75,0.0,0.0,0.0,3.2575000000000003
A17,3.52,0.125,0.075,0.7875,0.525,0.25,0.0375,0.0375,0.0125,0.0375,0.0375,0.0625,0.0675,0.0125,1.75,0.0,0.0,0.0,3.1625
A18,3.52,0.25,0.25,2.625,0.525,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.225,0.125,0.0,0.0,0.0,0.0,1.98
A19,3.52,0.25,0.25,2.625,0.525,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.225,0.125,1.75,0.0,0.0,0.0,0.23
