nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,name
0.165,0.034,50.0,0.026,10,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,40.0,10,P2
0.099,0.034,50.0,0.026,10,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,40.0,10,P3
0.165,0.0204,50.0,0.078,10,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,40.0,10,P4
0.033,0.0068,50.0,0.026,10,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,24.0,10,P5
0.165,0.068,50.0,0.026,10,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,80.0,10,P6
0.099,0.034,50.0,0.026,10,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,80.0,10,P7
0.033,0.0204,50.0,0.078,10,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,80.0,10,P8
0.165,0.034,50.0,0.026,10,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,40.0,10,P9
0.099,0.034,50.0,0.026,10,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,40.0,10,P10
0.165,0.0204,50.0,0.078,10,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,40.0,10,P11
0.033,0.0068,50.0,0.026,10,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,24.0,10,P12
0.165,0.068,50.0,0.026,10,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,80.0,10,P13
0.099,0.034,50.0,0.026,10,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,80.0,10,P14
0.033,0.0204,50.0,0.078,10,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,80.0,10,P15
0.165,0.034,50.0,0.026,10,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,40.0,10,P16
0.099,0.034,50.0,0.026,10,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,40.0,10,P17
0.165,0.0204,50.0,0.078,10,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,40.0,10,P18
0.033,0.0068,50.0,0.026,10,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,24.0,10,P19
0.165,0.068,50.0,0.026,10,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,80.0,10,P20
0.099,0.034,50.0,0.026,10,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,80.0,10,P21
0.033,0.0204,50.0,0.078,10,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,80.0,10,P22
