name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
P2,3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0625,0.0375,0.0625,0.0625,0.1125,0.0625,1.75,0.0,0.0,0.0,2.9925
P3,3.52,0.075,0.125,1.3125,0.525,0.25,0.0125,0.0125,0.0375,0.0625,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,2.5425
P4,3.52,0.025,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0625,0.0375,0.0625,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6375
P5,3.52,0.125,0.075,1.3125,0.525,0.25,0.0125,0.0125,0.0125,0.0625,0.0125,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,2.6175
P6,3.52,0.25,0.25,2.625,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.875
P7,3.52,0.25,0.25,2.625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.9375
P8,3.52,0.25,0.25,2.625,0.525,0.25,0.0375,0.0375,0.0125,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.9875
P9,3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0625,0.0375,0.0625,0.0625,0.1125,0.0625,1.75,0.0,0.0,0.0,2.9925
P10,3.52,0.075,0.125,1.3125,0.525,0.25,0.0125,0.0125,0.0375,0.0625,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,2.5425
P11,3.52,0.025,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0625,0.0375,0.0625,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6375
P12,3.52,0.125,0.075,1.3125,0.525,0.25,0.0125,0.0125,0.0125,0.0625,0.0125,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,2.6175
P13,3.52,0.25,0.25,2.625,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.875
P14,3.52,0.25,0.25,2.625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.9375
P15,3.52,0.25,0.25,2.625,0.525,0.25,0.0375,0.0375,0.0125,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.9875
P16,3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0625,0.0375,0.0625,0.0625,0.1125,0.0625,1.75,0.0,0.0,0.0,2.9925
P17,3.52,0.075,0.125,1.3125,0.525,0.25,0.0125,0.0125,0.0375,0.0625,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,2.5425
P18,3.52,0.025,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0625,0.0375,0.0625,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6375
P19,3.52,0.125,0.075,1.3125,0.525,0.25,0.0125,0.0125,0.0125,0.0625,0.0125,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,2.6175
P20,3.52,0.25,0.25,2.625,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.875
P21,3.52,0.25,0.25,2.625,0.525,0.25,0.0625,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.9375
P22,3.52,0.25,0.25,2.625,0.525,0.25,0.0375,0.0375,0.0125,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,0.9875
