nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,40,10
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,40,10
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,20,10
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,4,10
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,4,10
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,20,10
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,20,10
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10
