nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,9114.0,9435.0,9280.0,A2,A8,A14,9276.3,131.1,0.383,0.0072,example
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,5870.0,5654.0,5283.0,A3,A9,A15,5602.3,242.4,0.1819,0.0133,example
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,6080.0,5762.0,5615.0,A4,A10,A16,5819.0,194.1,0.1938,0.0106,example
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,3441.0,3581.0,3283.0,A5,A11,A17,3435.0,121.7,0.0633,0.0067,example
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,2287.0,2325.0,2222.0,A6,A12,A18,2278.0,42.5,0.0,0.0023,example
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,4138.0,3229.0,2695.0,A7,A13,A19,3354.0,595.7,0.0589,0.0326,example
0.099,0.0068,50.0,0.026,10.0,2.0,0.75,0.1,9.0,0.15,0.1,2.0,50.0,0.075,20.0,10.0,17918.0,18777.0,17178.0,C9,C11,C12,17957.7,653.4,0.8582,0.0358,example
0.033,0.0204,50.0,0.026,10.0,2.0,0.75,0.3,3.0,0.15,0.02,1.2,50.0,0.075,4.0,10.0,13955.0,13881.0,13821.0,B2,B3,B4,13885.7,54.8,0.6353,0.003,example
0.099,0.034,50.0,0.13,10.0,2.0,0.75,0.1,3.0,0.15,0.02,0.4,50.0,0.225,4.0,10.0,11109.0,11081.0,11553.0,B5,B6,B7,11247.7,216.2,0.4909,0.0118,example
0.033,0.0068,50.0,0.026,10.0,2.0,0.45,0.1,15.0,0.15,0.06,0.4,50.0,0.075,20.0,10.0,14896.0,14384.0,13562.0,B8,B9,B10,14280.7,549.5,0.6569,0.0301,example
