Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume
Plate1,A3,destPlate100,A2,25.0
Plate1,A4,destPlate100,A2,25.0
Plate1,A5,destPlate100,A2,262.5
Plate1,A8,destPlate100,A2,12.5
Plate1,A9,destPlate100,A2,12.5
Plate1,A10,destPlate100,A2,12.5
Plate1,A11,destPlate100,A2,12.5
Plate1,A12,destPlate100,A2,12.5
Plate1,A13,destPlate100,A2,12.5
Plate1,A14,destPlate100,A2,22.5
Plate1,A15,destPlate100,A2,12.5
Plate1,A21,destPlate100,A2,530.0
Plate1,A3,destPlate100,A3,25.0
Plate1,A4,destPlate100,A3,75.0
Plate1,A5,destPlate100,A3,262.5
Plate1,A8,destPlate100,A3,12.5
Plate1,A9,destPlate100,A3,12.5
Plate1,A10,destPlate100,A3,62.5
Plate1,A11,destPlate100,A3,62.5
Plate1,A12,destPlate100,A3,12.5
Plate1,A13,destPlate100,A3,12.5
Plate1,A14,destPlate100,A3,67.5
Plate1,A15,destPlate100,A3,12.5
Plate1,A21,destPlate100,A3,337.5
Plate1,A3,destPlate100,A4,75.0
Plate1,A4,destPlate100,A4,25.0
Plate1,A5,destPlate100,A4,787.5
Plate1,A8,destPlate100,A4,62.5
Plate1,A9,destPlate100,A4,37.5
Plate1,A10,destPlate100,A4,37.5
Plate1,A11,destPlate100,A4,37.5
Plate1,A12,destPlate100,A4,37.5
Plate1,A13,destPlate100,A4,62.5
Plate1,A14,destPlate100,A4,22.5
Plate1,A15,destPlate100,A4,12.5
Plate1,A21,destPlate100,A4,757.5
Plate1,A3,destPlate100,A5,125.0
Plate1,A4,destPlate100,A5,75.0
Plate1,A5,destPlate100,A5,787.5
Plate1,A8,destPlate100,A5,37.5
Plate1,A9,destPlate100,A5,37.5
Plate1,A10,destPlate100,A5,12.5
Plate1,A11,destPlate100,A5,37.5
Plate1,A12,destPlate100,A5,37.5
Plate1,A13,destPlate100,A5,62.5
Plate1,A14,destPlate100,A5,67.5
Plate1,A15,destPlate100,A5,12.5
Plate1,A21,destPlate100,A5,662.5
Plate1,A3,destPlate100,A6,250.0
Plate1,A4,destPlate100,A6,250.0
Plate1,A5,destPlate100,A6,25.0
Plate1,A8,destPlate100,A6,125.0
Plate1,A9,destPlate100,A6,125.0
Plate1,A10,destPlate100,A6,125.0
Plate1,A11,destPlate100,A6,125.0
Plate1,A12,destPlate100,A6,125.0
Plate1,A13,destPlate100,A6,125.0
Plate1,A14,destPlate100,A6,225.0
Plate1,A15,destPlate100,A6,125.0
Plate1,A21,destPlate100,A6,480.0
Plate1,A3,destPlate100,A7,250.0
Plate1,A4,destPlate100,A7,250.0
Plate1,A5,destPlate100,A7,25.0
Plate1,A8,destPlate100,A7,125.0
Plate1,A9,destPlate100,A7,125.0
Plate1,A10,destPlate100,A7,125.0
Plate1,A11,destPlate100,A7,125.0
Plate1,A12,destPlate100,A7,125.0
Plate1,A13,destPlate100,A7,125.0
Plate1,A14,destPlate100,A7,225.0
Plate1,A15,destPlate100,A7,125.0
Plate1,A21,destPlate100,A7,230.0
Plate1,A3,destPlate100,A8,25.0
Plate1,A4,destPlate100,A8,25.0
Plate1,A5,destPlate100,A8,262.5
Plate1,A8,destPlate100,A8,12.5
Plate1,A9,destPlate100,A8,12.5
Plate1,A10,destPlate100,A8,12.5
Plate1,A11,destPlate100,A8,12.5
Plate1,A12,destPlate100,A8,12.5
Plate1,A13,destPlate100,A8,12.5
Plate1,A14,destPlate100,A8,22.5
Plate1,A15,destPlate100,A8,12.5
Plate1,A21,destPlate100,A8,530.0
Plate1,A3,destPlate100,A9,25.0
Plate1,A4,destPlate100,A9,75.0
Plate1,A5,destPlate100,A9,262.5
Plate1,A8,destPlate100,A9,12.5
Plate1,A9,destPlate100,A9,12.5
Plate1,A10,destPlate100,A9,62.5
Plate1,A11,destPlate100,A9,62.5
Plate1,A12,destPlate100,A9,12.5
Plate1,A13,destPlate100,A9,12.5
Plate1,A14,destPlate100,A9,67.5
Plate1,A15,destPlate100,A9,12.5
Plate1,A21,destPlate100,A9,337.5
Plate1,A3,destPlate100,A10,75.0
Plate1,A4,destPlate100,A10,25.0
Plate1,A5,destPlate100,A10,787.5
Plate1,A8,destPlate100,A10,62.5
Plate1,A9,destPlate100,A10,37.5
Plate1,A10,destPlate100,A10,37.5
Plate1,A11,destPlate100,A10,37.5
Plate1,A12,destPlate100,A10,37.5
Plate1,A13,destPlate100,A10,62.5
Plate1,A14,destPlate100,A10,22.5
Plate1,A15,destPlate100,A10,12.5
Plate1,A21,destPlate100,A10,757.5
Plate1,A3,destPlate100,A11,125.0
Plate1,A4,destPlate100,A11,75.0
Plate1,A5,destPlate100,A11,787.5
Plate1,A8,destPlate100,A11,37.5
Plate1,A9,destPlate100,A11,37.5
Plate1,A10,destPlate100,A11,12.5
Plate1,A11,destPlate100,A11,37.5
Plate1,A12,destPlate100,A11,37.5
Plate1,A13,destPlate100,A11,62.5
Plate1,A14,destPlate100,A11,67.5
Plate1,A15,destPlate100,A11,12.5
Plate1,A21,destPlate100,A11,662.5
Plate1,A3,destPlate100,A12,250.0
Plate1,A4,destPlate100,A12,250.0
Plate1,A5,destPlate100,A12,25.0
Plate1,A8,destPlate100,A12,125.0
Plate1,A9,destPlate100,A12,125.0
Plate1,A10,destPlate100,A12,125.0
Plate1,A11,destPlate100,A12,125.0
Plate1,A12,destPlate100,A12,125.0
Plate1,A13,destPlate100,A12,125.0
Plate1,A14,destPlate100,A12,225.0
Plate1,A15,destPlate100,A12,125.0
Plate1,A21,destPlate100,A12,480.0
Plate1,A3,destPlate100,A13,250.0
Plate1,A4,destPlate100,A13,250.0
Plate1,A5,destPlate100,A13,25.0
