nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,0.383,0.0072
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.1819,0.0133
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.1938,0.0106
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.0633,0.0067
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.0589,0.0326
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,0.8582,0.0358
0.033,0.0204,0.026,0.75,0.3,3.0,0.15,0.02,1.2,0.075,4.0,0.6353,0.003
0.099,0.034,0.13,0.75,0.1,3.0,0.15,0.02,0.4,0.225,4.0,0.4909,0.0118
0.033,0.0068,0.026,0.45,0.1,15.0,0.15,0.06,0.4,0.075,20.0,0.6569,0.0301
0.099,0.034,0.13,0.15,0.3,3.0,0.15,0.06,1.2,0.225,4.0,0.2926,0.0015
0.165,0.0068,0.078,0.75,0.3,3.0,0.15,0.02,1.2,0.075,20.0,0.7961,0.0129
0.033,0.0204,0.078,0.45,0.1,15.0,0.15,0.02,1.2,0.075,20.0,0.7029,0.0116
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,1.2,0.075,20.0,0.8547,0.005
0.033,0.0068,0.078,0.45,0.3,15.0,0.15,0.06,1.2,0.075,20.0,0.6785,0.0048
0.033,0.0068,0.026,0.75,0.3,9.0,0.15,0.06,2.0,0.225,20.0,0.8328,0.0278
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,0.8893,0.0183
0.165,0.034,0.026,0.45,0.5,9.0,0.15,0.1,2.0,0.225,4.0,0.3382,0.003
0.033,0.034,0.026,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,0.7727,0.0131
0.033,0.0068,0.026,0.45,0.3,15.0,0.15,0.1,2.0,0.225,20.0,0.7089,0.0201
0.165,0.0068,0.078,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,0.8463,0.0738
0.165,0.0068,0.078,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,0.8399,0.0204
0.099,0.034,0.13,0.75,0.3,15.0,0.15,0.06,1.2,0.075,20.0,0.6722,0.0069
0.165,0.0204,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,0.8734,0.0118
0.099,0.034,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,0.8319,0.0062
0.165,0.034,0.078,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,0.8248,0.0224
