Buffer,Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,yield_1,yield_2,yield_3,yield,yield_std
Buffer 5,0.0,240.0,2.25,0.255,45.0,2.25,0.0,8.2,1.232651742163932,1.0158857382776654,1.0148831946550476,1.0878068916988817,0.1254403216797171
Buffer 6,9.0,40.8,1.5075,0.255,22.5,2.25,0.0,10.0,1.6921009940157836,0.7443706344745037,1.0326884893926795,1.156386705960989,0.4858231624631499
Buffer 7,9.0,79.2,2.25,0.0,0.0,2.25,0.0,8.2,1.2739885155972714,0.150690787193281,0.4742308348672804,0.6329700458859443,0.5782283714031267
Buffer 8,9.0,120.0,2.25,1.5,0.0,2.25,2.01,10.0,0.6261000501693174,0.1222040289124021,2.4695613120648248,1.072621797048848,1.2357418041481971
Buffer 9,6.03,0.0,2.25,0.75,30.15,2.25,3.0,8.2,1.6497686581571072,2.831721438930583,0.2687474062505861,1.5834125011127589,1.282774854653482
Buffer 11,9.0,240.0,0.0,0.0,22.5,2.25,0.0,1.0,0.0095886160377042,0.0410105911215337,0.1413965126609134,0.0639985732733837,0.0688452314660862
Buffer 12,4.5,40.8,1.5075,0.495,45.0,2.25,0.0,8.2,1.5299007229370236,1.5133415683750913,1.0424424325694497,1.3618949079605216,0.2767778250240868
Buffer 13,2.97,240.0,0.3825,1.5,45.0,2.25,2.01,10.0,1.2232830885065464,1.0231060359696762,0.4561719162889869,0.9008536802550698,0.3978996311804995
Buffer 14,2.97,240.0,1.5075,0.495,45.0,2.25,0.51,10.0,2.827646248821601,0.3386699540938948,1.2513568960454295,1.4725576996536418,1.2591457801091996
Buffer 15,2.97,79.2,0.3825,1.5,45.0,2.25,0.99,10.0,2.5010964823600226,0.4167415682306131,1.1594367561070809,1.3590916022325723,1.0564233976961603
Buffer 16,1.53,240.0,0.0,0.255,0.0,2.25,0.0,10.0,0.3453093472051204,0.1100010247008568,0.2091244100120021,0.2214782606393265,0.118139599114498
Buffer 17,0.0,240.0,2.25,0.495,45.0,2.25,0.51,6.4,1.7846746201789778,1.7634866065998185,0.9993446872886134,1.5158353046891364,0.4474194356271729
Buffer 18,9.0,79.2,0.0,1.5,45.0,1.5075,1.5,10.0,0.6942951944974624,0.8486389058476393,0.129250550313923,0.5573948835530084,0.3787296831143452
Buffer 19,1.53,40.8,2.25,0.495,45.0,2.25,0.0,1.0,0.1757544765507462,-0.0029946962195854,0.0118030511160645,0.0615209438157417,0.0992054349942175
Buffer 20,9.0,0.0,2.25,0.495,45.0,1.125,0.0,2.8,0.1676517980496499,-0.0027975769584328,0.0263701380549313,0.0637414530487161,0.0911630887390012
Buffer 22,0.0,40.8,1.125,0.255,45.0,1.5075,0.0,10.0,1.3694458734403288,1.0559447000792754,0.3260812975414999,0.9171572903537016,0.5353492956788927
Buffer 25,2.97,40.8,2.25,1.005,14.85,2.25,2.01,10.0,1.6858824281016696,2.735855940401129,1.001272688796676,1.807670352433158,0.8736812851786392
Buffer 26,6.03,0.0,2.25,0.495,45.0,2.25,0.99,2.8,0.4258841116047496,0.3658367944468382,0.1890762620500148,0.3269323893672009,0.1231042401935646
Buffer 27,0.0,240.0,2.25,0.0,30.15,0.0,3.0,10.0,0.0060072519445119,0.0195984475234186,0.138389401449124,0.0546650336390182,0.072825184333563
Buffer 28,0.0,40.8,0.0,0.0,45.0,1.5075,3.0,8.2,1.1674837642694762,0.7228937109494391,0.3017493115968995,0.730708928938605,0.4329201356604185
Buffer 29,0.0,160.8,2.25,0.75,14.85,2.25,0.51,10.0,2.6370978062330943,2.392270087697726,0.6578144314139562,1.895727441781592,1.079030406832405
Buffer 30,9.0,0.0,0.7425,0.255,45.0,2.25,1.5,6.4,1.648332224038187,0.2241753951034688,1.320572844661951,1.064360154601202,0.7458480912769516
Buffer 31,6.03,0.0,0.0,0.255,22.5,2.25,0.99,10.0,1.8187040455131125,0.1864169359467896,1.0788777314261169,1.0279995709620062,0.8173320882133859
Buffer 33,1.53,40.8,2.25,1.005,7.65,2.25,0.99,10.0,2.378740936473268,2.4930468247772186,1.100816577398621,1.990868112883036,0.772923192101817
Buffer 34,1.53,40.8,2.25,0.75,14.85,2.25,3.0,8.2,2.3899645478871334,2.084957005453206,0.8841269782920408,1.7863495105441265,0.7960914039938635
Buffer 35,6.03,0.0,1.125,0.255,45.0,1.5075,0.0,8.2,0.5673991007176625,0.4015910291812874,0.0224446267158647,0.3304782522049382,0.2793503444970311
Buffer 36,0.0,120.0,1.5075,0.0,45.0,2.25,0.99,2.8,0.1764908127009849,0.634649583931882,0.2035530770364761,0.338231157889781,0.2570622570715086
Buffer 40,9.0,120.0,0.3825,1.5,45.0,1.125,3.0,10.0,0.4950891693629329,0.4783151321223445,0.6089311004478649,0.5274451339777141,0.0710655621944839
Buffer 42,0.0,240.0,0.3825,0.0,22.5,2.25,2.01,8.2,1.3225736637981602,1.2727258963406884,0.1001519587584422,0.8984838396324304,0.691824792844961
Buffer 43,0.0,40.8,2.25,1.5,7.65,1.5075,2.01,8.2,0.2675506144423999,0.9820143832998656,0.2193745165991405,0.4896465047804687,0.4270829309971536
Buffer 44,2.97,120.0,2.25,0.255,45.0,1.5075,0.0,8.2,2.078592264712506,1.7770456402335937,0.3465934714947861,1.400743792146962,0.9252876663946032
Buffer 45,1.53,40.8,1.125,0.255,14.85,2.25,3.0,10.0,2.6255095906524857,1.9199609692408015,0.8017421678757372,1.782404242589675,0.9196321508519943
Buffer 46,0.0,120.0,2.25,1.005,30.15,2.25,0.0,4.6,2.014597157937548,0.2013845932017451,0.3598263778660713,0.8586027096684546,1.0042501297503663
Buffer 47,9.0,40.8,2.25,0.495,0.0,2.25,2.01,2.8,0.2362040584606847,0.0056426598530783,0.0432011201425796,0.0950159461521142,0.1237061913477763
Buffer 49,0.0,120.0,1.5075,1.5,7.65,2.25,3.0,8.2,0.9465964994357936,0.968932151581802,0.4603474854360868,0.7919587121512275,0.2874008082832008
Buffer 50,0.0,240.0,0.0,0.495,45.0,1.5075,0.0,2.8,0.1234387507128541,0.106065156814917,0.0377600329162159,0.0890879801479957,0.0452921523721702
P1_Buffer 44,2.97,120.0,2.25,0.255,45.0,1.5075,0.0,8.2,1.5963379412355052,0.8661038150165041,0.7235031551442053,1.0619816371320716,0.4682266885284463
P1_Buffer 25,2.97,40.8,2.25,1.005,14.85,2.25,2.01,10.0,1.529623534825259,1.049344022840385,1.3242290063173454,1.3010655213276632,0.2409761662193122
P1_Buffer 1,6.03,79.2,2.25,0.255,45.0,2.25,2.01,10.0,2.98577008780225,1.636365844944783,1.1174432281546618,1.9131930536338984,0.9644357372179392
