Buffer,Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,yield_1,yield_2,yield_3,yield,yield_std
Buffer 1,6.03,240.0,2.25,1.005,0.0,1.125,0.99,6.4,0.03131630241664231,0.027512807686336817,-0.06842840632708326,-0.0031997654080347104,0.05652166257418917
Buffer 2,9.0,0.0,0.7425,0.0,0.0,0.7425,0.99,8.2,0.024278543459886195,-0.16123885256929987,0.02497714453279945,-0.03732772152553807,0.1073107557902422
Buffer 3,2.97,160.8,1.5075,1.005,7.65,1.125,1.5,6.4,0.2710917151087577,-0.015075983647560392,-0.00847808462560189,0.08251254894519845,0.16334766451064872
Buffer 4,4.5,160.8,0.0,0.255,14.85,0.3825,1.5,10.0,-0.0028634019284835112,-0.0924913321718731,-0.07963189760750654,-0.05832887723595439,0.048462928900774783
Buffer 5,9.0,40.8,0.3825,0.255,30.15,0.0,2.01,2.8,-0.12615355424076763,-0.36160798992634513,-0.1961430321011502,-0.22796819208942098,0.12091041488313864
Buffer 6,0.0,0.0,1.5075,0.495,0.0,1.125,0.99,1.0,-0.10188363548548461,-0.3925793041588327,-0.3469373673951668,-0.28046676901316137,0.1563321728989514
Buffer 7,2.97,40.8,0.0,0.495,45.0,2.25,0.0,6.4,0.601297155572422,1.0156452141514158,1.4480792782847194,1.021673882669519,0.4234232509786891
Buffer 8,1.53,79.2,0.7425,0.495,7.65,1.125,0.99,6.4,0.2790868162765427,0.09406102840977669,0.6722698497576458,0.3484725648146551,0.2952831638381515
Buffer 9,6.03,240.0,0.7425,1.5,14.85,2.25,0.0,2.8,0.10311696824383776,0.04994566436099572,0.13230296862332477,0.09512186707605275,0.04175670752528028
Buffer 10,6.03,40.8,1.5075,0.75,45.0,2.25,2.01,4.6,1.2906870439687443,0.5016559432839425,1.061106032118401,0.9511496731236959,0.4058451923141345
Buffer 11,4.5,79.2,1.5075,0.255,7.65,0.0,0.99,6.4,-0.125998309557898,-0.3427716350714985,-0.30652200162144416,-0.2584306487502802,0.11611310145410145
Buffer 12,6.03,0.0,0.0,0.75,30.15,0.3825,2.01,8.2,-0.022941714246287014,0.09558760112466158,0.31505183447466906,0.12923257378434785,0.17149022678625045
Buffer 13,4.5,160.8,0.7425,0.0,30.15,0.0,1.5,6.4,-0.13140599934452207,-0.09787314784468593,-0.2122884791195898,-0.14718920876959926,0.05881793334097504
Buffer 14,2.97,0.0,1.5075,1.5,45.0,2.25,3.0,4.6,1.3599002984147799,1.5142393873009854,0.4291566763838337,1.101098787366533,0.5870134487160159
Buffer 15,0.0,240.0,0.7425,0.255,22.5,1.125,0.0,10.0,0.4697790350680496,0.41016507684611864,0.15160505752678022,0.3438497231469828,0.16913593526595452
Buffer 16,9.0,160.8,0.7425,0.75,45.0,1.5075,2.01,6.4,0.4743587532127031,0.28881548306970467,0.2843133872664859,0.3491625411829646,0.10844646534858467
Buffer 17,6.03,0.0,0.7425,0.255,30.15,0.0,3.0,6.4,-0.02850464871578181,-0.3703275662808546,-0.2697290117813462,-0.22285374225932753,0.17566643080778427
Buffer 18,2.97,40.8,2.25,0.0,0.0,1.5075,0.99,8.2,0.7186103875942249,0.49917202835802865,0.42152381280941154,0.5464354095872217,0.15407945558462735
Buffer 19,2.97,240.0,0.7425,1.005,14.85,1.5075,2.01,2.8,0.06381418936401476,-0.32440101426526186,-0.004803960464353658,-0.08846359512186691,0.2071882282744404
Buffer 20,1.53,240.0,2.25,0.255,14.85,1.5075,1.5,6.4,0.2586203922515652,0.25499801631794167,-0.017689269142531435,0.16530971314232512,0.15849211664881335
Buffer 21,9.0,240.0,0.7425,0.0,22.5,1.125,2.01,6.4,0.1338554154520209,-0.06281372362996601,0.0022337984924013224,0.02442516343815207,0.10019496032949511
Buffer 22,2.97,240.0,0.7425,0.75,45.0,1.5075,2.01,8.2,0.42537905576734003,0.6148034429820782,0.22040432615182945,0.4201956083004159,0.19725064495421005
Buffer 23,0.0,79.2,0.3825,0.0,7.65,2.25,2.01,4.6,0.2377399824056024,0.3665413209597577,0.5336622220688948,0.37931450847808496,0.14837405002684442
Buffer 24,4.5,79.2,1.5075,0.0,14.85,0.3825,0.0,8.2,-0.144110189226019,-0.0606920462974139,0.6433684646300868,0.1461887430355513,0.4325857178826286
Buffer 25,2.97,79.2,1.5075,1.5,45.0,0.7425,0.99,8.2,0.20441412381625945,0.3061252652096664,0.5059510461766691,0.3388301450675317,0.1534057879010273
Buffer 26,0.0,40.8,2.25,0.495,7.65,2.25,2.01,2.8,0.507193003639626,0.22700222517378796,0.420178358891208,0.38479119590154065,0.14340818164479338
Buffer 27,1.53,0.0,0.3825,0.0,22.5,0.7425,3.0,2.8,-0.07184378935021472,-0.2991996274127612,-0.32680730684974085,-0.23261690787090558,0.13991619891965634
Buffer 28,6.03,0.0,2.25,0.75,0.0,1.5075,0.51,10.0,0.6647404826384696,0.1956686733479376,1.2376968588825836,0.699368671622997,0.5218764398460787
Buffer 29,6.03,0.0,0.3825,1.5,30.15,1.5075,1.5,1.0,-0.09412140134200402,-0.13365704724613145,-0.28972970175771484,-0.1725027167819501,0.103428194072725
Buffer 30,6.03,120.0,0.0,0.255,22.5,1.125,2.01,6.4,0.09543235644179197,0.13209597571283158,0.1272575164300624,0.11826194952822865,0.019918469128599257
Buffer 31,1.53,40.8,2.25,1.5,22.5,0.0,0.99,1.0,-0.20261156055405144,-0.18237800355337833,-0.25249685198281924,-0.212495472030083,0.036089222848618506
Buffer 32,6.03,0.0,1.125,1.5,22.5,0.7425,1.5,6.4,0.11667500388111757,0.18094630258913685,0.4633881289565831,0.2536698118089458,0.18444248255169304
Buffer 33,2.97,0.0,0.0,1.5,0.0,0.7425,0.99,6.4,-0.064650785710589,0.03206665171717914,-0.16985493246856334,-0.06747968882065773,0.10099051222577589
Buffer 34,0.0,0.0,0.0,1.5,14.85,2.25,0.99,10.0,0.9073620478498616,0.5217342556017459,0.5786831801010822,0.6692598278508965,0.20815930288299497
Buffer 35,0.0,240.0,1.125,0.255,22.5,1.125,3.0,2.8,0.14415331274903884,0.17789315715936704,0.053671536749866404,0.12523933555275743,0.06423438833153629
Buffer 36,1.53,160.8,1.125,1.5,7.65,0.3825,0.0,1.0,-0.008296965828919924,-0.07448294895899812,-0.12843047625618823,-0.07040346368136875,0.060170563666899796
Buffer 37,1.53,160.8,1.125,0.495,45.0,0.7425,0.0,4.6,0.4324168147240956,0.5912062511858972,0.4395580701360977,0.4877270453486968,0.0896867265136716
Buffer 38,4.5,40.8,1.125,0.75,14.85,0.7425,1.5,2.8,-0.08258154658202917,-0.14260949062494646,-0.07492280889379574,-0.10003794870025713,0.03706637562708928
Buffer 39,1.53,160.8,0.0,1.005,14.85,0.3825,0.0,2.8,-0.10822279336932746,-0.20380176978938475,-0.04897107274075821,-0.1203318786331568,0.07812239529472909
Buffer 40,1.53,160.8,0.7425,0.255,45.0,0.7425,3.0,10.0,0.19264140203198019,0.39026788332499596,0.5678936746416436,0.3836009866662066,0.1877149505446317
Buffer 41,4.5,120.0,1.5075,1.005,14.85,0.0,0.0,4.6,-0.14496403498180188,-0.22178427888844848,-0.04291653010884335,-0.13655494799303122,0.08972988602667183
Buffer 42,9.0,79.2,1.125,0.255,22.5,0.3825,3.0,10.0,0.04381349938764605,-0.20579407655287846,-0.05132561709761474,-0.07110206475428238,0.1259734749983657
Buffer 43,0.0,79.2,0.7425,1.5,7.65,2.25,3.0,2.8,0.015093233056767874,-0.06563400203543025,-0.12348852051817187,-0.05800976316561141,0.06960475824061436
Buffer 44,9.0,120.0,0.0,0.0,22.5,2.25,3.0,4.6,0.011807220602694802,0.012272954651303637,0.4184706673796429,0.1475169475445471,0.23465292017447317
Buffer 45,9.0,0.0,1.5075,0.0,0.0,0.3825,3.0,4.6,-0.0806927362737826,-0.2230521104652166,-0.26721922274162113,-0.19032135649354012,0.09747568532806015
Buffer 46,2.97,240.0,1.5075,0.255,30.15,1.125,0.51,1.0,-0.03652562399737804,0.018819105445638556,-0.08961930553878528,-0.03577527469684159,0.05422309943429382
Buffer 47,4.5,120.0,0.0,0.495,30.15,0.3825,3.0,8.2,0.1290945785106865,-0.028918634536767067,-0.0185431148983143,0.027210943025201714,0.08838619369984393
Buffer 48,4.5,0.0,0.3825,0.75,7.65,0.3825,0.99,8.2,-0.09877874182809236,-0.14097942145481554,0.2581029099753339,0.006114915564142009,0.21924572136251713
Buffer 49,4.5,40.8,0.3825,1.005,30.15,0.0,0.0,10.0,-0.15805633657047286,-0.27050523519569425,-0.25937936625670577,-0.2293136460076243,0.06196086951518959
Buffer 50,0.0,240.0,1.125,1.5,30.15,2.25,0.51,1.0,0.15176030220964984,0.23453159229296414,0.219110620461249,0.20180083832128767,0.04401696302351781
Buffer 51,9.0,240.0,2.25,1.005,45.0,0.7425,0.51,1.0,0.159289669328826,0.08058061511393282,0.11507080882479787,0.11831369775585222,0.039454607466240424
Buffer 52,1.53,40.8,0.7425,0.495,14.85,0.3825,0.51,8.2,-0.07934728235557967,0.018715608990392527,-0.12162558432373653,-0.060752419229641225,0.07199471741879904
Buffer 53,9.0,160.8,0.0,1.005,30.15,1.125,3.0,1.0,-0.03900953892329183,-0.04488296275852585,-0.16599968951063426,-0.08329739706415064,0.07168246758318836
Buffer 54,2.97,240.0,2.25,0.0,45.0,1.5075,0.0,6.4,0.9512704189881506,1.1072137029306754,0.7194124851223853,0.9259655356804037,0.1951350787859841
Buffer 55,2.97,79.2,1.125,0.495,7.65,2.25,2.01,10.0,0.5194055853587017,1.1759094751004788,0.45578113949597215,0.7170320666517176,0.39867075954517067
Buffer 56,1.53,120.0,0.7425,0.0,45.0,1.125,3.0,4.6,0.5136874062063373,1.047056388318701,0.669785934831732,0.7435099097855901,0.27422077990579513
Buffer 57,2.97,240.0,0.3825,0.495,45.0,0.0,1.5,8.2,-0.11435495834267713,-0.027495558277129333,0.10433305159298342,-0.012505821675607681,0.11011190024217246
Buffer 58,0.0,160.8,0.3825,0.495,14.85,0.7425,3.0,2.8,-0.05662981042899277,-0.17376192365411486,-0.06035568281786345,-0.09691580563365702,0.06657675962657794
Buffer 59,4.5,79.2,0.3825,0.0,0.0,0.0,0.99,2.8,-0.11971089990167873,-0.20504372725234163,-0.32561709761440644,-0.21679057492280895,0.1034544918636842
Buffer 60,0.0,120.0,1.5075,0.75,14.85,0.0,0.0,8.2,-0.11782208959343103,-0.13388991427043587,0.11535542407672529,-0.045452193262380536,0.13949502175050174
Buffer 61,2.97,120.0,0.0,0.75,45.0,1.5075,1.5,8.2,1.4359443189070784,0.9769634140030713,0.6240405016128201,1.0123160781743232,0.40710479029636965
Buffer 62,9.0,40.8,1.5075,0.495,22.5,1.125,0.51,4.6,0.25191899677436064,0.34729098028392585,0.351353216152347,0.31685439773687785,0.0562723747827016
Buffer 63,4.5,160.8,0.0,1.5,30.15,0.3825,0.0,1.0,-0.13846963241508942,-0.049203939765062626,-0.11326824556258984,-0.10031393924758063,0.046021207178317015
Buffer 64,1.53,120.0,1.125,0.255,22.5,0.0,0.0,4.6,-0.12488572266399837,-0.09440601659393201,-0.009513049178065593,-0.07626826281199865,0.05978667937771291
Buffer 65,0.0,79.2,1.125,1.005,45.0,1.125,1.5,1.0,-0.005269694512962494,-0.030859193072637212,0.17530574577820723,0.04639228606420251,0.11237310924197852
Buffer 66,0.0,120.0,2.25,1.5,0.0,1.5075,0.51,1.0,-0.08886895623824843,-0.06271022717471886,-0.052360581650078446,-0.06797992168768191,0.018816020141424666
Buffer 67,9.0,40.8,1.125,0.495,0.0,0.0,2.01,10.0,-0.17997171096889933,-0.3441947113311374,-0.18918289548583,-0.23778310592862226,0.09227016746113924
Buffer 68,4.5,0.0,0.7425,0.495,30.15,0.7425,2.01,6.4,0.12723164231625117,0.21168474979731997,0.30814344608697136,0.2156866127335142,0.0905222700008896
Buffer 69,1.53,79.2,0.3825,1.005,30.15,1.5075,0.99,10.0,0.8207872630362418,1.1367878150173365,1.131923481620755,1.0298328532247778,0.18105512839409788
Buffer 70,1.53,0.0,1.5075,0.75,45.0,0.0,2.01,4.6,-0.028142411122419008,0.21378055301605972,0.2923343625480827,0.15932416814724115,0.16703431984265737
Buffer 71,6.03,120.0,0.3825,0.495,22.5,0.3825,0.99,1.0,-0.1966346402635714,-0.13254446035223294,-0.0763717592672447,-0.13518361996101635,0.060174861935567696
Buffer 72,4.5,79.2,1.125,1.005,0.0,0.0,0.51,1.0,-0.20211995239163025,-0.42515481344763995,0.2699273799872356,-0.11911579528401155,0.35489728299948864
Buffer 73,2.97,120.0,2.25,0.255,30.15,2.25,0.0,4.6,0.6005985544995087,0.9441809118037708,1.8767357218015288,1.140505062701603,0.6603324137218481
Buffer 74,0.0,120.0,2.25,0.75,45.0,0.7425,0.51,10.0,0.6854397736877516,0.7972676935814956,0.859624307867456,0.7807772583789011,0.08825538978854712
Buffer 75,0.0,40.8,1.5075,0.0,45.0,1.125,1.5,10.0,1.1712003863867668,0.9593690166111816,1.1647577320476779,1.098442378348542,0.12048413550103305
Buffer 76,6.03,160.8,0.0,0.75,7.65,0.7425,3.0,2.8,-0.06811791696134405,-0.19567729805254136,0.19440084177116948,-0.02313145774757198,0.19889211881451188
Buffer 77,1.53,79.2,0.3825,1.005,7.65,1.5075,0.51,10.0,0.7787418280923882,0.3099287599399719,0.19396098183637187,0.42754385662291067,0.30962419602282126
Buffer 78,0.0,160.8,0.3825,1.005,7.65,1.125,0.51,2.8,0.03892329187725328,-0.12426474393251993,-0.03235989167370975,-0.03923378124299213,0.08181088879984727
Buffer 79,6.03,240.0,1.125,1.5,22.5,2.25,3.0,2.8,0.07504355475824925,0.025106515101857834,0.02189812498921957,0.04068273161644222,0.02980055481053373
Buffer 80,2.97,40.8,0.7425,1.5,0.0,0.0,0.0,4.6,-0.2365325237610616,-0.3811688199679162,0.05514636123712772,-0.18751832749728337,0.2222487973286598
Buffer 81,9.0,79.2,0.3825,1.005,0.0,2.25,1.5,8.2,0.31686302244148196,0.9109326755558627,0.7329187725320415,0.653571490176462,0.30487978221058243
Buffer 82,2.97,160.8,2.25,0.75,0.0,0.3825,1.5,1.0,-0.06819553930277884,-0.13200110396218928,-0.12977593017439115,-0.10999085781311975,0.03621290290258585
Buffer 83,9.0,79.2,1.125,0.495,7.65,0.0,0.51,2.8,-0.19979128214858605,-0.3344660445379743,-0.10253048833077427,-0.2122626050057782,0.11646963543620309
Buffer 84,4.5,240.0,2.25,0.0,22.5,2.25,1.5,1.0,-0.02472702809928755,0.13214772394045515,0.23939592568954568,0.11560554051023776,0.13283623961108562
Buffer 85,9.0,240.0,0.3825,0.255,22.5,0.7425,0.0,10.0,0.21618684560053872,0.07413796077484393,0.2540147999931004,0.18144653545616105,0.09483715613346536
Buffer 86,1.53,160.8,0.0,1.005,14.85,0.7425,1.5,10.0,0.06365894468114514,0.054473634278025686,0.04751349766270551,0.05521535887395878,0.00809823940054067
Buffer 87,6.03,40.8,1.125,0.255,14.85,0.3825,1.5,8.2,-0.08871371155537883,0.008779949286737372,-0.031273178893622466,-0.03706898038742131,0.04900456062772154
Buffer 88,6.03,120.0,2.25,0.0,7.65,0.0,0.99,8.2,-0.23968916564607629,-0.33614786193572876,0.16433512152208837,-0.13716730201990554,0.2655256175470585
Buffer 89,9.0,120.0,1.5075,0.495,22.5,1.5075,2.01,10.0,0.8224690804339951,0.3305245545340078,0.6738222965863419,0.6089386438514482,0.2523088790251099
Buffer 90,0.0,120.0,2.25,0.255,14.85,2.25,3.0,6.4,0.6993859210322054,0.9093543546133553,1.578924671829991,1.0625549824918505,0.4593472845522287
Buffer 91,0.0,240.0,2.25,1.005,0.0,1.5075,0.51,4.6,0.06704845359046424,0.05157573353112664,0.25556724682179655,0.12473047798112914,0.11357176729719555
Buffer 92,9.0,79.2,1.5075,1.5,30.15,1.5075,3.0,6.4,0.5758370275818057,0.020216307591465064,0.8214599899953428,0.47250444172287115,0.4104949172928357
Buffer 93,9.0,79.2,0.3825,0.75,0.0,0.3825,0.0,1.0,-0.162403187690822,-0.12082348679557724,-0.2451227295465127,-0.17611646801097067,0.0632741335773808
Buffer 94,1.53,0.0,0.0,0.75,7.65,1.125,2.01,2.8,-0.1872940851775823,-0.3108171045141708,-0.3267038103944937,-0.2749383333620823,0.07631665962161631
Buffer 95,2.97,40.8,1.125,0.0,30.15,0.7425,0.99,1.0,-0.22307798457902783,-0.11246614803442943,-0.40978558984354835,-0.2484432408190019,0.15027394913128211
Buffer 96,6.03,40.8,0.0,0.75,14.85,1.125,1.5,8.2,0.036620495748020336,0.18922601900884872,0.6513118175702481,0.29238611077570575,0.32006695968328125
Buffer 97,4.5,160.8,0.7425,0.0,14.85,0.3825,0.51,10.0,0.14133303434357347,-0.16201507598364795,-0.07132630707398231,-0.030669449571352262,0.15570727040272045
Buffer 98,6.03,120.0,0.0,0.75,0.0,2.25,0.99,4.6,0.2997602332120123,-0.08030462456660857,0.25256584961965034,0.15734048608835136,0.20715507820066073
