Buffer,Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,yield_1,yield_2,yield_3,yield,yield_std
P2_Buffer 1,4.5,0.0,2.25,1.5,45.0,2.25,0.0,10.0,1.128817507305799,2.076976577295169,2.047191027991149,1.750995037530706,0.5390273221965739
P2_Buffer 2,6.03,160.8,2.25,0.495,45.0,2.25,2.01,10.0,0.6440286370727296,1.597056502298367,1.131932996261641,1.1243393785442457,0.4765593092645052
P2_Buffer 4,9.0,160.8,2.25,0.75,45.0,2.25,0.99,8.2,1.4280605755116889,1.1866316193535458,1.788272254352426,1.4676548164058871,0.3027682964817399
P2_Buffer 5,9.0,40.8,2.25,0.255,45.0,1.125,3.0,10.0,1.109738735009647,1.0330957176170128,0.8531547753714402,0.9986630759993668,0.1317119477970095
P2_Buffer 6,9.0,120.0,2.25,0.495,45.0,1.5075,3.0,10.0,0.9940141353456884,1.0545013201617843,1.0400768649402317,1.029530773482568,0.0315925610788233
P2_Buffer 7,4.5,240.0,2.25,1.005,45.0,2.25,0.99,10.0,2.1742365750289787,1.1203517694286462,1.055800535246673,1.4501296265680994,0.6279250513123353
P2_Buffer 8,1.53,240.0,2.25,0.255,45.0,2.25,3.0,6.4,0.7312204103320148,1.1295056210657108,0.8681586810933682,0.9096282374970314,0.2023550601134886
P2_Buffer 9,9.0,79.2,2.25,0.255,45.0,2.25,1.5,8.2,2.2952152576709497,0.8001300527305969,0.728471665563005,1.2746056586548506,0.8845997379129824
P2_Buffer 11,9.0,240.0,1.5075,0.75,45.0,2.25,0.99,10.0,1.892906113904631,0.2583283094743024,1.4069777145285471,1.1860707126358268,0.839381365827233
P2_Buffer 13,1.53,79.2,2.25,0.255,45.0,2.25,0.99,10.0,2.34879973723789,1.9622248986016877,1.9703867642823427,2.09380380004064,0.2208706635186645
P2_Buffer 15,4.5,0.0,1.5075,1.5,45.0,2.25,0.0,10.0,1.249666854043469,1.392998167401622,1.9064984617857264,1.5163878277436058,0.3453631370627187
P2_Buffer 16,4.5,79.2,2.25,0.0,45.0,1.125,3.0,10.0,1.0081027211223723,0.9382484651661112,0.843876943234994,0.9300760431744926,0.0824173397507191
P2_Buffer 17,9.0,240.0,2.25,0.0,30.15,2.25,0.99,8.2,0.7008740523859922,1.313089399524625,1.0760344564202553,1.0299993027769574,0.3086929450866031
P2_Buffer 18,9.0,0.0,2.25,0.255,0.0,2.25,3.0,10.0,0.193259168743704,1.2402261642953183,0.961978826775094,0.7984880532713721,0.5422931838122506
P2_Buffer 19,9.0,120.0,1.5075,1.005,45.0,2.25,0.99,10.0,0.9337197129583468,1.3923462530496191,1.0950715931419186,1.1403791863832948,0.2326459957167057
P2_Buffer 20,9.0,240.0,1.5075,1.005,30.15,2.25,0.0,10.0,0.7021724964213645,1.4292774183757582,1.8308477532110472,1.3207658893360563,0.5721084012433435
P2_Buffer 22,9.0,79.2,1.125,0.0,45.0,2.25,2.01,10.0,2.011190222212934,1.350424847742967,1.36039492666516,1.5740033322070204,0.3786477693229035
P2_Buffer 23,6.03,240.0,1.5075,0.255,45.0,2.25,2.01,10.0,1.2967110790422942,0.0378721637741037,0.8507697756863772,0.7284510061675918,0.6382713096175019
P2_Buffer 24,9.0,120.0,1.5075,0.495,45.0,2.25,1.5,10.0,0.6077381751312517,1.98060998789384,1.695101462556068,1.4278165418603863,0.7244136768400921
P2_Buffer 25,1.53,40.8,2.25,1.5,22.5,2.25,0.0,10.0,2.1439457533735125,1.4578525048876805,1.1039378804074789,1.5685787128895574,0.528771513805055
P2_Buffer 26,1.53,240.0,2.25,1.5,45.0,1.5075,0.51,10.0,1.3678288417806228,0.7899346158427747,0.929092602973569,1.0289520201989888,0.3016112754847314
P2_Buffer 28,6.03,79.2,2.25,0.0,45.0,2.25,0.99,8.2,1.9915566512614549,2.270080782935397,2.662475781944529,2.3080377387137934,0.3370662662565111
P2_Buffer 29,6.03,240.0,2.25,0.0,30.15,2.25,3.0,6.4,1.279153984415929,0.698667804835113,1.1620974754927398,1.0466397549145938,0.3069835746451408
P2_Buffer 30,2.97,120.0,1.5075,1.5,45.0,2.25,3.0,10.0,1.6006507731690405,1.232546762066582,0.99447011201922,1.275889215751614,0.3054057542132886
P2_Buffer 31,9.0,160.8,2.25,0.0,45.0,1.5075,3.0,1.0,0.301217012776812,0.0323065877629747,-0.2683489627061196,0.021724879277889,0.2849303941716352
P2_Buffer 32,6.03,240.0,2.25,1.005,45.0,1.5075,3.0,8.2,0.5240078765377468,0.0993165964212593,0.8174868724493021,0.480270448469436,0.3610773577823342
P2_Buffer 33,9.0,120.0,2.25,0.0,45.0,2.25,2.01,4.6,1.762286707225865,1.4135203114737234,0.3911508698387065,1.1889859628460984,0.7126114835077175
P2_Buffer 34,9.0,120.0,2.25,1.005,45.0,2.25,2.01,6.4,1.210987744265894,1.4852435465186673,0.430807448650445,1.0423462464783355,0.5470729724670321
P2_Buffer 35,9.0,240.0,1.5075,0.0,45.0,0.0,3.0,1.0,-0.0800538106917429,0.26394300516133,-0.2056540835616581,-0.0072549630306903,0.243115426495028
P2_Buffer 36,6.03,40.8,2.25,0.255,45.0,0.7425,3.0,10.0,0.552535072781429,0.6539551172613303,1.0628553328911563,0.7564485076446386,0.2701580338872302
