Buffer,Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,yield_1,yield_2,yield_3,yield,yield_std
P3_Buffer 1,0.0,0.0,2.25,0.495,45.0,2.25,0.51,10.0,2.8549946027767783,2.879449607305483,2.612454557861956,2.782299589314739,0.1475974689604212
P3_Buffer 2,1.53,0.0,2.25,1.005,30.15,2.25,1.5,8.2,2.78010347779694,2.489435090636128,1.7068377234884675,2.325458763973845,0.5551045141431252
P3_Buffer 3,1.53,40.8,2.25,0.0,30.15,2.25,0.51,8.2,2.4808739779396256,2.475178976884996,2.6463640085859272,2.534138987803516,0.0972314235546436
P3_Buffer 4,6.03,79.2,1.5075,0.75,45.0,2.25,1.5,10.0,1.9204560963807584,2.323647282156904,2.1584178071144087,2.1341737285506905,0.2026859999628645
P3_Buffer 5,9.0,40.8,2.25,1.005,30.15,2.25,0.51,10.0,2.031192227998561,2.2948000545926024,1.8532327505986577,2.0597416777299404,0.2221637330868691
P3_Buffer 6,2.97,79.2,1.5075,0.75,45.0,2.25,1.5,8.2,2.163107807982928,2.3833889598868443,2.3317617281040235,2.292752831991265,0.1152051081896159
P3_Buffer 7,4.5,120.0,1.5075,0.75,30.15,2.25,0.0,10.0,2.05888556646029,2.524833430524709,1.988423886745164,2.1907142945767206,0.2914925553629831
P3_Buffer 8,2.97,79.2,1.125,0.75,45.0,2.25,3.0,8.2,1.8210355224139856,2.0895194610221224,1.6338077099643908,1.8481208978001664,0.2290600645745209
P3_Buffer 9,0.0,120.0,2.25,0.0,45.0,2.25,0.51,6.4,2.0143305582093625,2.077198903184982,1.837524969912031,1.976351477102125,0.1242686868199077
P3_Buffer 10,4.5,79.2,0.3825,0.75,45.0,2.25,2.01,10.0,1.6915766095512237,2.055721676985496,2.2794272739680137,2.0089085201682444,0.296708113559796
P3_Buffer 11,1.53,120.0,1.125,0.495,22.5,2.25,3.0,10.0,1.1828231820042925,1.7114905021278706,1.576076032606673,1.490129905579612,0.2746130667045456
P3_Buffer 12,1.53,79.2,1.125,1.5,22.5,2.25,0.0,10.0,2.107386130997432,2.051738898470166,1.106405945630731,1.7551769916994429,0.5625407152240663
P3_Buffer 13,9.0,40.8,1.5075,1.5,22.5,2.25,2.01,10.0,1.4710721242726157,1.7311810613298264,0.6174919662022159,1.2732483839348858,0.5826032306230768
P3_Buffer 14,9.0,0.0,1.5075,0.0,30.15,2.25,3.0,8.2,1.326724319763763,1.918520540466767,0.9951114805761996,1.413452113602243,0.4677738295801322
P3_Buffer 15,2.97,79.2,2.25,1.005,14.85,2.25,3.0,8.2,1.351402657667159,1.0497909351464696,0.7019119818355521,1.0343685248830603,0.3250198802408847
P3_Buffer 16,2.97,0.0,1.125,0.0,22.5,2.25,0.51,10.0,1.8529349727657356,2.0488355645991785,2.204796704591982,2.035522413985632,0.1763082515521767
P3_Buffer 17,6.03,160.8,0.0,0.0,45.0,2.25,0.99,10.0,1.6855466084345567,2.108502797870889,1.401168777994218,1.7317393947665547,0.3559223005805589
P3_Buffer 18,0.0,79.2,0.7425,1.005,30.15,2.25,3.0,8.2,1.803987741479212,2.0765661252900234,1.5784582552700468,1.819670707346427,0.2494239946511836
P3_Buffer 19,1.53,40.8,1.5075,0.495,22.5,2.25,0.51,8.2,2.142561137511322,1.9304316537836392,1.80540218618559,1.9594649924935168,0.1704442450839825
P3_Buffer 20,2.97,0.0,2.25,0.75,22.5,2.25,0.99,6.4,2.1991389257664675,1.9338933210913556,1.9444644341600803,2.025832227005968,0.1501810440246201
P3_Buffer 21,0.0,40.8,1.5075,1.005,0.0,2.25,0.99,10.0,1.5601821407744705,1.657294936536099,1.7961338511358982,1.671203642815489,0.11858917104186
P3_Buffer 22,0.0,79.2,0.0,0.75,45.0,2.25,0.0,8.2,1.96076777051255,2.186743923471097,2.452547861582937,2.200019851855528,0.2461586931212282
P3_Buffer 23,0.0,79.2,2.25,0.75,30.15,1.5075,0.99,8.2,1.7321116170577064,1.820663300122833,1.2790798664962713,1.6106182612256037,0.290514423958938
P3_Buffer 24,6.03,120.0,0.7425,0.75,45.0,2.25,0.0,8.2,2.184510589724183,2.2482350459694525,1.4429693412906188,1.9585716589947515,0.4476600429984162
P3_Buffer 25,1.53,0.0,0.0,0.495,45.0,2.25,0.99,8.2,2.4546695286425053,2.483181756144769,1.5910393687109945,2.1762968844994237,0.5070483276961056
