Buffer,Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,yield_1,yield_2,yield_3,yield,yield_std
P3_Buffer 1,0.0,240.0,0.0,1.5,0.0,0.0,0.0,8.2,-0.5427993597776589,0.108552427509709,-0.4948199064481308,-0.3096889462386936,0.3630012286778976
P3_Buffer 2,1.53,0.0,0.0,0.75,0.0,0.0,3.0,10.0,-0.5323399133962803,-0.0375820439966751,-0.1117659466233232,-0.2272293013387595,0.2668242437351152
P3_Buffer 3,1.53,240.0,0.3825,0.0,0.0,0.0,3.0,4.6,-0.130339838951822,-0.3430276561162323,0.1018152040398525,-0.1238507636760672,0.2224924125254889
P3_Buffer 4,0.0,40.8,0.3825,1.005,45.0,0.0,3.0,1.0,0.2105041130563174,-0.2153554102510022,-0.082955941288137,-0.0292690794942739,0.2179467658508366
P3_Buffer 5,9.0,240.0,2.25,0.75,7.65,0.0,0.0,10.0,-0.2132337431914342,-0.0196781517922503,-0.1188381701552167,-0.1172500217129671,0.0967875684273446
P3_Buffer 6,0.0,240.0,0.0,0.75,7.65,2.25,3.0,1.0,-0.5143987989627409,0.1813218854299787,-0.1701304018760006,-0.1677357718029209,0.3478665237743619
P3_Buffer 7,9.0,40.8,2.25,1.5,0.0,2.25,2.01,1.0,-0.15780984403886,-0.0283509311760981,-0.3597776592180848,-0.1819794781443476,0.1670300794011339
P3_Buffer 8,0.0,240.0,0.3825,1.5,0.0,0.0,0.0,6.4,-0.0103353722843285,0.0975346476916011,0.002580741218656,0.0299266722086428,0.0589053075595375
P3_Buffer 9,1.53,0.0,1.5075,1.005,0.0,0.0,3.0,1.0,-0.1511470650272345,-0.0784148293360795,-0.3739593285109865,-0.2011737409581002,0.1539923341489943
P3_Buffer 10,4.5,79.2,0.0,1.5,45.0,0.3825,3.0,1.0,-0.0539970470364905,-0.1715820688114945,-0.2624787523108803,-0.1626859560529551,0.1045251690990685
P3_Buffer 11,9.0,0.0,0.0,1.5,14.85,0.0,0.99,1.0,-0.0663176048736303,-0.2461009715001796,-0.4766182364107845,-0.2630122709281982,0.2056724242483784
P3_Buffer 12,0.0,240.0,0.3825,1.5,30.15,0.0,2.01,2.8,0.1720907726094025,-0.1523753985880371,-0.3157809844038857,-0.0986885367941734,0.2483272481419695
P3_Buffer 13,1.53,160.8,2.25,0.495,45.0,0.0,3.0,1.0,0.0029529635098077,0.3619241410970634,-0.2148342990433888,0.0500142685211607,0.2912449989104372
P3_Buffer 14,1.53,240.0,1.5075,1.5,0.0,0.0,2.01,1.0,0.0184374108217429,0.1411591002146484,-0.3518493244165417,-0.0640842711267167,0.256654822052955
P3_Buffer 15,1.53,0.0,0.0,1.5,30.15,0.7425,3.0,1.0,-0.0623348263583012,0.1021502041018896,-0.3755971065920567,-0.1119272429494894,0.2427038917206314
