Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
2.97,160.8,2.25,0.255,45.0,2.25,3.0,10.0,2.6350356676553215,1.0807127450225376e-07,9.469193640879927e-09,12.334164893257023
0.0,160.8,2.25,0.75,45.0,2.25,3.0,8.2,2.074921752509745,5.43873743928761e-10,4.285741102947077e-11,12.161808205676095
0.0,0.0,2.25,0.495,45.0,1.5075,3.0,8.2,1.6794631116798229,1.4932398155513569e-12,1.0243991239416699e-13,11.62403347964994
9.0,0.0,2.25,0.75,45.0,2.25,3.0,8.2,2.0593384511475676,2.7767997226915664e-11,1.9134894162299697e-12,11.48686564981362
6.03,79.2,2.25,0.0,45.0,2.25,3.0,1.0,0.6663330216766568,5.646701504086199e-17,3.583566484315946e-18,11.480950931092895
9.0,240.0,2.25,0.495,22.5,2.25,1.5,10.0,1.413624604891158,4.929336443998838e-14,3.214376089422938e-15,11.45189022074733
0.0,0.0,1.125,1.5,0.0,0.0,3.0,8.2,-0.27060674392734807,7.056242521631151e-21,4.326033538210838e-22,11.385255044273709
9.0,240.0,2.25,1.0050000000000001,0.0,2.25,3.0,10.0,0.24939538393030602,5.35162987228325e-19,3.284268303738939e-20,11.350424607343673
6.03,40.800000000000004,2.25,0.75,45.0,2.25,2.0100000000000002,10.0,2.9633864986007445,8.725122118173387e-08,6.551886598275439e-09,11.331789556895837
0.0,40.800000000000004,2.25,1.5,30.150000000000002,0.0,3.0,8.2,0.16279437604082325,1.627645577023205e-19,9.874284387401442e-21,11.293308288430634
6.03,120.0,1.125,0.0,45.0,2.25,3.0,8.2,1.921393912702289,2.45265935380065e-12,1.5960515488571077e-13,11.266442982020347
9.0,240.0,1.5075,1.5,45.0,0.3825,2.0100000000000002,10.0,-0.03232728121217576,1.4359997492276396e-20,8.552824057274383e-22,11.202735409043942
6.03,160.8,2.25,0.75,45.0,0.0,3.0,2.8000000000000003,0.05886289063745842,3.161245718043314e-20,1.883505174712441e-21,11.19882763864637
1.53,240.0,2.25,1.5,30.150000000000002,2.25,3.0,4.6000000000000005,0.7451309780225381,1.5356119294239e-17,9.237982029153648e-19,11.176482495250408
1.53,240.0,2.25,1.5,22.5,0.3825,3.0,4.6000000000000005,-0.20366027198542724,2.247371529253321e-21,1.3268165120902383e-22,11.1604680173233
0.0,120.0,2.25,0.0,0.0,2.25,3.0,10.0,1.1795562268573017,8.305610464531045e-16,5.046581607820382e-17,11.148113366325255
9.0,0.0,2.25,1.5,30.150000000000002,0.0,0.0,6.4,-0.0024158853902278565,8.41221556100114e-21,4.921548330729913e-22,11.098996913219022
9.0,40.800000000000004,1.125,1.5,45.0,2.25,0.51,8.2,1.1330178914550437,3.6840570926437438e-16,2.2104680995212768e-17,11.093450628597147
9.0,160.8,1.5075,1.5,7.65,0.0,3.0,2.8000000000000003,-0.32026371632340833,3.2283470381902963e-22,1.868330514445543e-23,11.048068689516718
6.03,79.2,2.25,0.0,45.0,2.25,0.99,8.2,2.54934557630893,4.5488178119844724e-10,3.00455314924626e-11,11.039989970407424
9.0,240.0,2.25,0.255,22.5,0.3825,3.0,2.8000000000000003,-0.2133586728077841,6.772172794665415e-22,3.903221108670751e-23,11.022092976568706
0.0,240.0,2.25,1.5,30.150000000000002,0.3825,2.0100000000000002,8.2,-0.02387347235393289,3.436530518558124e-21,1.9790924698670817e-22,11.010921517509374
9.0,0.0,1.125,1.5,0.0,0.0,3.0,8.2,-0.18783133434133248,7.676010598045354e-22,4.414869549004269e-23,11.009379198200051
