Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
4.5,0.0,2.25,1.5,45.0,2.25,0.0,10.0,1.7741654301496936,0.0004312724923745035,5.817481026204564e-05,12.096603134829445
6.03,160.8,2.25,0.495,45.0,2.25,2.0100000000000002,10.0,2.6999059061899526,0.041496307923992753,0.007716961685638818,11.86114527122144
9.0,0.0,2.25,1.5,45.0,0.0,0.0,10.0,0.26725317942657334,1.0759978320059497e-08,1.0460210701390975e-09,11.791351574763892
9.0,160.8,2.25,0.75,45.0,2.25,0.99,8.2,2.041895305893018,0.00126646414279701,0.00017161961431011973,11.659560204891855
9.0,40.800000000000004,2.25,0.255,45.0,1.125,3.0,10.0,1.5532232851122245,5.7336637110037085e-05,6.706719239497671e-06,11.615112042588798
9.0,120.0,2.25,0.495,45.0,1.5075,3.0,10.0,1.7764463693490509,0.00023429577317720458,2.893493266419077e-05,11.595330391770426
4.5,240.0,2.25,1.0050000000000001,45.0,2.25,0.99,10.0,1.9958156199482318,0.0008614729471419735,0.00011280213300831309,11.554962521878824
1.53,240.0,2.25,0.255,45.0,2.25,3.0,6.4,1.4539828584871213,2.5830964960640857e-05,2.9082516906767434e-06,11.531994909938671
9.0,79.2,2.25,0.255,45.0,2.25,1.5,8.2,2.30461074879198,0.004881558298958196,0.000708775216997819,11.509312171360214
9.0,240.0,2.25,0.0,45.0,0.3825,0.0,10.0,0.5605144020400381,3.778243557376564e-08,3.6049140477915615e-09,11.469536059564236
9.0,240.0,1.5075,0.75,45.0,2.25,0.99,10.0,1.5699876497656664,5.0331620508218046e-05,5.750093398259142e-06,11.463512639228743
0.0,79.2,2.25,1.5,45.0,2.25,0.0,8.2,1.5219884827786032,3.415477354477372e-05,3.830445689339529e-06,11.425208275777159
1.53,79.2,2.25,0.255,45.0,2.25,0.99,10.0,2.3915139236184473,0.007280771376303938,0.0010774210369545595,11.416165878173873
1.53,240.0,2.25,1.5,45.0,2.25,2.0100000000000002,6.4,1.2626844649629447,5.301433804372107e-06,5.589109094244164e-07,11.393423532775245
4.5,0.0,1.5075,1.5,45.0,2.25,0.0,10.0,1.4899941935726488,2.5631232283790027e-05,2.8324998885743646e-06,11.385641131703885
4.5,79.2,2.25,0.0,45.0,1.125,3.0,10.0,1.670134355457014,8.643996863630061e-05,9.973501289617137e-06,11.381624211761535
9.0,240.0,2.25,0.0,30.150000000000002,2.25,0.99,8.2,1.4416347461273364,1.780041795261051e-05,1.9397309227180514e-06,11.36887105892645
9.0,0.0,2.25,0.255,0.0,2.25,3.0,10.0,1.0487654508836997,1.034643955130055e-06,1.0402559608494202e-07,11.3507022922521
9.0,120.0,1.5075,1.0050000000000001,45.0,2.25,0.99,10.0,1.9089883834883192,0.00039354464391836607,4.826781995318256e-05,11.350172421510216
9.0,240.0,1.5075,1.0050000000000001,30.150000000000002,2.25,0.0,10.0,1.2335851845923074,3.7934525962222413e-06,3.931564863058041e-07,11.331307556269634
0.0,40.800000000000004,2.25,0.495,45.0,2.25,0.51,10.0,1.9995360401403843,0.0006778666594949861,8.517200312022945e-05,11.32756608153268
9.0,79.2,1.125,0.0,45.0,2.25,2.0100000000000002,10.0,2.1137314929280535,0.0013685500092476518,0.00017871125620546376,11.327478320268488
