AlaRS,ArgRS,AsnRS,AspRS,CysRS,GlnRS,GluRS,GlyRS,HisRS,IleRS,LeuRS,LysRS,MetRS,PheRS,ProRS,SerRS,ThrRS,TrpRS,TyrRS,ValRS,IF1,IF2,IF3,EF-G,EF-Tu,EF-Ts,RF1,RF2,RF3,RRF,MTF,CK,MK,NDK,Ppiase,T7RNAP,Replicate 1,Replicate 2,Replicate 3
573.33,6.18,334.60,48.56,22.99,59.84,46.84,68.82,13.62,227.23,16.46,88.58,11.01,53.14,64.05,15.70,17.03,17.65,10.11,5.91,481.93,410.68,97.09,386.60,923.79,328.95,148.15,145.63,33.56,388.35,233.92,107.82,27.65,70.97,24.77,101.11,-1.654232949,6.361674895,6.280490035
716.67,30.91,334.60,121.40,13.79,11.97,46.84,34.41,17.02,75.74,16.46,110.73,11.01,79.71,128.10,23.55,51.08,17.65,2.53,2.96,963.86,246.41,291.26,386.60,1847.58,1644.74,197.53,242.72,100.67,485.44,116.96,86.25,138.25,56.77,12.38,20.22,1.264033644,5.82409947,6.486194917
143.33,30.91,334.60,24.28,18.39,59.84,140.52,51.61,13.62,227.23,8.23,44.29,27.52,106.28,32.03,39.26,68.11,5.88,7.58,7.39,963.86,164.27,194.17,257.73,1385.68,657.89,246.91,242.72,67.11,485.44,175.44,86.25,138.25,28.39,6.19,80.89,-2.543975133,6.376485646,5.233315048
573.33,18.55,83.65,48.56,22.99,11.97,234.20,51.61,3.40,302.97,24.69,44.29,5.50,53.14,128.10,23.55,34.05,29.41,7.58,1.48,1204.82,82.14,291.26,515.46,2309.47,657.89,246.91,145.63,67.11,388.35,116.96,21.56,27.65,14.19,6.19,40.44,-3.123788627,6.216310112,7.804900347
286.67,6.18,83.65,97.12,22.99,35.91,46.84,34.41,6.81,151.49,8.23,88.58,5.50,53.14,64.05,23.55,68.11,5.88,7.58,1.48,1204.82,164.27,291.26,386.60,923.79,986.84,49.38,145.63,167.79,97.09,233.92,21.56,110.60,14.19,12.38,20.22,5.769793381,5.495520205,5.57889925
430.00,12.36,334.60,24.28,22.99,23.94,187.36,34.41,6.81,378.72,24.69,66.44,5.50,53.14,96.08,23.55,51.08,29.41,5.05,7.39,481.93,82.14,485.44,257.73,923.79,657.89,246.91,48.54,33.56,291.26,116.96,64.69,110.60,56.77,18.58,20.22,5.328762114,3.843847138,5.49771439
143.33,12.36,334.60,24.28,13.79,59.84,46.84,34.41,10.21,75.74,32.92,88.58,5.50,79.71,128.10,39.26,17.03,23.53,5.05,4.44,240.96,410.68,388.35,644.33,1847.58,986.84,148.15,97.09,33.56,485.44,233.92,107.82,27.65,70.97,30.96,40.44,4.021576157,5.588224538,5.733040775
573.33,12.36,418.25,72.84,13.79,47.87,93.68,17.20,10.21,378.72,16.46,66.44,22.02,132.85,64.05,15.70,68.11,29.41,12.63,7.39,722.89,82.14,194.17,644.33,1385.68,1644.74,246.91,145.63,33.56,291.26,292.40,107.82,55.30,70.97,12.38,60.67,3.665021028,5.984823551,2.688059974
430.00,6.18,167.30,48.56,22.99,59.84,187.36,86.02,17.02,302.97,24.69,66.44,16.51,26.57,96.08,15.70,68.11,11.76,12.63,1.48,481.93,328.54,485.44,128.87,1385.68,1644.74,98.77,242.72,67.11,194.17,58.48,64.69,55.30,56.77,6.19,101.11,4.328213567,4.407204242,4.153775827
286.67,30.91,83.65,97.12,4.60,23.94,46.84,51.61,13.62,378.72,41.15,44.29,16.51,132.85,64.05,7.85,17.03,29.41,2.53,2.96,722.89,164.27,194.17,128.87,923.79,1315.79,98.77,48.54,134.23,388.35,292.40,86.25,138.25,14.19,6.19,40.44,4.361674895,5.210824648,2.339184494
