Parameter,maxValue,w1,w2,w3,w4,w5
AlaRS,716.6666667,0.2,0.4,0.6,0.8,1.0
ArgRS,30.91190108,0.2,0.4,0.6,0.8,1.0
AsnRS,418.2509506,0.2,0.4,0.6,0.8,1.0
AspRS,121.3960546,0.2,0.4,0.6,0.8,1.0
CysRS,22.98850575,0.2,0.4,0.6,0.8,1.0
GlnRS,59.84251969,0.2,0.4,0.6,0.8,1.0
GluRS,234.2007435,0.2,0.4,0.6,0.8,1.0
GlyRS,86.02150538,0.2,0.4,0.6,0.8,1.0
HisRS,17.0212766,0.2,0.4,0.6,0.8,1.0
IleRS,378.7152445,0.2,0.4,0.6,0.8,1.0
LeuRS,41.15226337,0.2,0.4,0.6,0.8,1.0
LysRS,110.7266436,0.2,0.4,0.6,0.8,1.0
MetRS,27.52293578,0.2,0.4,0.6,0.8,1.0
PheRS,132.8502415,0.2,0.4,0.6,0.8,1.0
ProRS,160.1255887,0.2,0.4,0.6,0.8,1.0
SerRS,39.25619835,0.2,0.4,0.6,0.8,1.0
ThrRS,85.13513514,0.2,0.4,0.6,0.8,1.0
TrpRS,29.41176471,0.2,0.4,0.6,0.8,1.0
TyrRS,12.63157895,0.2,0.4,0.6,0.8,1.0
ValRS,7.393715342,0.2,0.4,0.6,0.8,1.0
IF1,1204.819277,0.2,0.4,0.6,0.8,1.0
IF2,410.6776181,0.2,0.4,0.6,0.8,1.0
IF3,485.4368932,0.2,0.4,0.6,0.8,1.0
EF-G,644.3298969,0.2,0.4,0.6,0.8,1.0
EF-Tu,2309.468822,0.2,0.4,0.6,0.8,1.0
EF-Ts,1644.736842,0.2,0.4,0.6,0.8,1.0
RF1,246.9135802,0.2,0.4,0.6,0.8,1.0
RF2,242.7184466,0.2,0.4,0.6,0.8,1.0
RF3,167.7852349,0.2,0.4,0.6,0.8,1.0
RRF,485.4368932,0.2,0.4,0.6,0.8,1.0
MTF,292.3976608,0.2,0.4,0.6,0.8,1.0
CK,107.8167116,0.2,0.4,0.6,0.8,1.0
MK,138.2488479,0.2,0.4,0.6,0.8,1.0
NDK,70.96774194,0.2,0.4,0.6,0.8,1.0
Ppiase,30.95975232,0.2,0.4,0.6,0.8,1.0
T7RNAP,101.1122346,0.2,0.4,0.6,0.8,1.0
