nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,7719,7499,7250,A2,A8,A14,7489.3,191.6,0.4158,0.0189,plate_AL_9
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,6368,5298,5818,A3,A9,A15,5828,436.9,0.2519,0.0431,plate_AL_9
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,5997,6231,5554,A4,A10,A16,5927.3,280.7,0.2617,0.0277,plate_AL_9
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,5162,4357,4377,A5,A11,A17,4632,374.9,0.134,0.037,plate_AL_9
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,3295,3264,3262,A6,A12,A18,3273.7,15.1,0,0.0015,plate_AL_9
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,4603,3475,3410,A7,A13,A19,3829.3,547.7,0.0548,0.054,plate_AL_9
0.165,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,25586,28509,29932,B2,B7,B12,28009,1809.1,2.4398,0.1784,plate_AL_9
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,21168,29305,29165,B3,B8,B13,26546,3803.2,2.2955,0.3751,plate_AL_9
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,26859,28257,25331,B4,B9,B14,26815.7,1194.9,2.3221,0.1179,plate_AL_9
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,28347,28888,26484,B5,B10,B15,27906.3,1029.7,2.4297,0.1016,plate_AL_9
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,26182,28100,25500,B6,B11,B16,26594,1100.7,2.3002,0.1086,plate_AL_9
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,27854,25685,27187,B17,B22,C5,26908.7,907.1,2.3313,0.0895,plate_AL_9
0.099,0.0068,50,0.13,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,26368,25188,27336,B18,B23,C6,26297.3,878.3,2.271,0.0866,plate_AL_9
0.033,0.0068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,26804,25571,27386,B19,C2,C7,26587,756.7,2.2995,0.0746,plate_AL_9
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.375,80,10,24638,25946,25422,B20,C3,C8,25335.3,537.5,2.1761,0.053,plate_AL_9
0.033,0.0068,50,0.13,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,26082,24817,26642,B21,C4,C9,25847,763.4,2.2265,0.0753,plate_AL_9
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,80,10,28851,29656,26528,C10,C15,C20,28345,1326.2,2.4729,0.1308,plate_AL_9
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,30100,27466,25622,C11,C16,C21,27729.3,1837.6,2.4122,0.1813,plate_AL_9
0.165,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.225,80,10,28511,25650,26414,C12,C17,C22,26858.3,1209.5,2.3263,0.1193,plate_AL_9
0.099,0.0068,50,0.13,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,26894,26610,25484,C13,C18,C23,26329.3,608.9,2.2741,0.0601,plate_AL_9
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,80,10,26977,24770,24734,C14,C19,D2,25493.7,1049,2.1917,0.1035,plate_AL_9
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,80,10,25997,28542,25549,D3,D11,D19,26696,1318.1,2.3103,0.13,plate_AL_9
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,29346,28616,26267,D4,D12,D20,28076.3,1313.6,2.4464,0.1296,plate_AL_9
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,80,10,26792,25336,24484,D5,D13,D21,25537.3,952.9,2.196,0.094,plate_AL_9
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,80,10,25298,23818,25429,D6,D14,D22,24848.3,730.5,2.128,0.0721,plate_AL_9
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,80,10,23380,24092,24582,D7,D15,D23,24018,493.5,2.0461,0.0487,plate_AL_9
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,80,10,22985,23243,23544,D8,D16,E2,23257.3,228.4,1.9711,0.0225,plate_AL_9
0.099,0.0068,50,0.13,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,80,10,24368,24130,25689,D9,D17,E3,24729,685.7,2.1163,0.0676,plate_AL_9
0.033,0.034,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,80,10,24223,22009,22000,D10,D18,E4,22744,1045.8,1.9205,0.1032,plate_AL_9
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,29527,29331,28293,E5,E7,E9,29050.3,541.5,2.5425,0.0534,plate_AL_9
