nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40,0.4335,0.0317
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,0.5507,0.0317
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40,0.8901,0.0173
0.033,0.0068,0.026,1.5,0.1,9,0.15,0.06,4,0.075,80,1.4527,0.1318
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,80,2.0988,0.056
0.033,0.0068,0.026,1.5,0.5,9,0.75,0.06,4,0.075,80,1.1604,0.0346
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,80,0.2179,0.0036
0.033,0.0068,0.078,0.45,0.3,15,0.15,0.06,1.2,0.075,40,0.4931,0.0072
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,1.8789,0.0774
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,2.339,0.0714
0.033,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80,1.9341,0.1117
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,80,0.2654,0.0281
0.033,0.0068,0.13,0.75,0.1,9,0.45,0.1,2,0.075,40,1.4031,0.0542
0.033,0.0068,0.26,1.5,0.1,9,0.15,0.02,4,0.075,80,1.2138,0.0856
0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,40,0.5917,0.026
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,1.1607,0.0397
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40,1.5748,0.1197
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,2,0.075,8,0.8257,0.0886
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.06,0.4,0.075,40,1.0223,0.0284
0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2,0.075,40,0.6598,0.0245
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,2.4224,0.0839
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80,1.8405,0.1514
0.033,0.0204,0.026,1.5,0.3,9,0.45,0.1,4,0.075,80,1.6411,0.0537
0.033,0.0204,0.026,1.5,1,9,0.15,0.1,4,0.075,80,0.234,0.0153
0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40,0.6459,0.0105
0.033,0.0204,0.078,1.5,0.5,9,0.45,0.1,4,0.075,80,1.1296,0.0886
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2,0.075,40,0.556,0.0279
