nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,11671,12167,12792,A2,A8,A14,12210,458.7,0.6333,0.037,plate_AL_4
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,8201,9199,8541,A3,A9,A15,8647,414.3,0.3462,0.0334,plate_AL_4
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,8714,9956,10183,A4,A10,A16,9617.7,645.7,0.4244,0.052,plate_AL_4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,7186,7630,7342,A5,A11,A17,7386,183.9,0.2446,0.0148,plate_AL_4
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,4066,4235,4750,A6,A12,A18,4350.3,290.9,0,0.0234,plate_AL_4
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,5137,4017,4525,A7,A13,A19,4559.7,457.9,0.0169,0.0369,plate_AL_4
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,40,10,15187,18049,-1,B2,B3,B4,16618,1431,0.9885,0.1153,plate_AL_4
0.099,0.0068,50,0.026,10,2,0.75,0.3,15,0.15,0.02,1.2,50,0.075,40,10,19428,21161,19933,B5,B8,B11,20174,727.7,1.275,0.0586,plate_AL_4
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,40,10,15873,18275,10942,B6,B9,B12,15030,3052.5,0.8605,0.246,plate_AL_4
0.033,0.0204,50,0.026,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,40,10,18587,12320,17797,B7,B10,B13,16234.7,2786.8,0.9576,0.2245,plate_AL_4
0.165,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.02,2,50,0.075,40,10,16208,16223,-1,B14,B15,B16,16215.5,7.5,0.956,0.0006,plate_AL_4
0.033,0.0068,50,0.026,10,2,0.75,0.5,15,0.15,0.02,1.2,50,0.225,40,10,16346,18309,12075,B17,B20,B23,15576.7,2602.5,0.9046,0.2097,plate_AL_4
