name,Time_1,Time_2,Time_3,Time_4,Time_5
A2,9483,9321,9228,9127,9032
A3,11210,11081,10897,10815,10641
A4,8345,8246,8194,8168,8115
A5,7226,7029,6985,6874,6710
A6,2061,1931,1904,1902,1907
A7,4777,4588,4476,4532,4532
A8,9696,9546,9354,9321,9223
A9,9839,9648,9504,92462,9091
A10,8143,7999,7964,7868,7781
A11,7349,7242,7093,6988,7045
A12,2136,1972,1935,1954,1956
A13,4311,4112,4078,4074,4067
A14,9407,9246,9095,9060,8954
A15,9925,9648,9570,9295,9052
A16,8001,7910,7831,7757,7747
A17,6800,6663,6501,6478,6348
A18,2155,1968,1947,1948,1952
A19,4492,4288,4226,4248,4262
A20,148,150,148,143,155
A21,174,172,172,170,174
A22,148,154,149,150,149
A23,149,152,150,152,157
A24,159,159,163,163,157
B2,22021,21833,21730,21574,21429
B3,21061,20922,20822,20517,20457
B4,21929,21731,21645,21464,21286
B5,23068,23182,23141,22950,22802
B6,23494,23572,23499,23359,23266
B7,25199,25262,25231,24825,24815
B8,27279,27282,27221,27075,26736
B9,26943,26941,26658,26617,26516
B10,26247,26183,26198,26089,25918
B11,11589,11485,11380,11327,11295
B12,11124,10998,10930,10858,10780
B13,10978,10877,10781,10714,10632
B14,23404,23322,23111,23266,22986
B15,22967,22931,22714,22990,22618
B16,23385,23172,23325,23267,22847
B17,29107,28862,28835,28722,28598
B18,30137,30112,29981,30014,29899
B19,31249,31223,31030,31077,30901
B20,31471,31283,31331,31079,31209
B21,30571,30501,30453,30325,30385
B22,30937,30816,30674,30820,30287
B23,33658,33574,32969,33228,33223
B24,170,168,170,168,172
C2,34678,34490,34102,30306,30180
C3,35827,35755,35612,30557,30520
C4,31390,31349,31340,31187,31160
C5,30619,30569,30691,30642,30556
C6,27710,27808,27732,27809,27572
C7,31899,31912,31723,31698,31795
C8,30375,30426,30444,30344,30393
C9,30981,30972,30898,30886,30891
C10,33411,33434,33268,33009,33341
C11,29857,29809,29760,29750,29745
C12,30171,30181,30069,30091,30083
C13,16234,16118,15954,15939,15860
C14,16619,16568,16451,16405,16349
C15,16835,16698,16552,16462,16428
C16,29921,29818,29697,29139,29333
C17,34567,34528,32582,30290,30585
C18,31626,31818,31658,31664,31609
C19,34205,34078,33093,32976,30019
C20,29938,29867,29945,29139,29589
C21,30893,30759,30536,30632,30551
C22,26778,26868,26701,26933,27053
C23,26999,26957,27011,26939,27242
C24,168,168,170,171,170
D2,27583,27525,27473,27599,27818
D3,31527,31442,31495,31238,31469
D4,31291,31484,31138,31208,31583
D5,28554,28866,28814,28641,28988
D6,27863,27787,27593,27685,27778
D7,30930,30975,30937,30879,31142
D8,27694,27654,27409,27389,27522
D9,29398,29390,29189,29193,29463
D10,32090,32182,31929,32113,32366
D11,30781,30819,30874,30827,31045
D12,29635,29640,29576,29531,29805
D13,32920,32879,32979,33134,33165
D14,30470,30659,30699,30841,30997
D15,29406,29407,29320,29446,29704
D16,31671,31679,31628,31593,31763
D17,29001,29270,29077,29184,29147
D18,37039,37050,34816,31626,31523
D19,26344,26376,26247,26358,26403
D20,35281,35105,34909,33980,32756
D21,26781,26767,26594,26626,26636
D22,33927,33828,33774,33849,33625
D23,27443,27405,27230,27318,27436
D24,167,167,164,170,168
E2,33451,33226,32868,32758,32945
E3,30452,30297,30082,30177,30225
E4,31522,31525,31328,31622,31583
E5,35351,35330,35036,34969,34667
E6,36301,35903,35775,34675,32738
E7,34650,34412,34204,34240,33134
E8,32511,33626,33849,33955,33980
E9,33465,33384,33964,34048,33961
E10,31689,31422,32032,31983,32055
E11,33925,34349,34442,33316,32375
E12,31411,31023,31653,31815,31689
E13,34241,35514,34398,33474,31442
E14,36800,36256,35935,35806,35838
E15,34139,33814,33369,33198,33288
E16,32418,31947,31719,31648,31676
E17,34493,33991,33710,33474,33528
E18,26644,27125,27202,26985,26881
E19,32549,32247,32086,33170,33678
E20,30576,30423,30104,30106,30027
E21,24471,24799,25077,24968,24993
E22,32118,31636,32671,33234,33463
E23,31085,30944,30367,30121,30196
E24,239,240,245,245,241
F2,33420,33066,32915,32823,32802
F3,31387,31501,32336,32166,32468
F4,31226,31548,32748,32399,32524
F5,31889,31529,31937,31942,31760
F6,31327,32794,32831,32417,32417
F7,28570,28416,28085,27921,27730
F8,26312,26319,26030,25864,25822
F9,29211,29217,29002,28755,28704
F10,15810,15740,15782,15755,15720
F11,31087,31023,31097,30972,30993
F12,15596,15511,15528,15453,15471
F13,31347,31362,31340,31380,31443
F14,15841,15819,15788,15752,15711
F15,30015,30170,30159,30053,30206
F16,12024,11625,11528,11498,11557
F17,12083,11808,11700,11669,11617
F18,11296,10968,10826,10815,10816
F19,23555,23509,23501,23374,23328
F20,23083,23005,22993,22868,22956
F21,21970,21916,21955,21867,21859
F22,29028,29100,29075,29048,29039
F23,29110,29175,28973,28924,28832
F24,173,172,168,179,189
G2,28669,28819,28759,28650,28726
G3,31061,31163,31023,31066,30978
G4,30261,30069,30357,30340,30148
G5,32132,32173,32106,32210,32165
G6,22229,21872,21687,21642,21596
G7,19053,19171,19089,19176,19048
G8,23618,23033,23002,22959,22891
G9,19922,19929,19971,19922,19911
G10,23313,23020,22673,22620,22563
G11,20569,20520,20664,20619,20609
G12,21414,21344,21238,21387,21496
G13,20866,20635,20800,20882,20836
G14,21383,21182,21335,21409,21477
G15,26754,26825,26931,26859,26971
G16,27138,27416,27342,27370,27402
G17,26843,27046,27066,27123,27182
G18,23383,22962,22841,22847,22709
G19,23150,22907,22605,22561,22448
G20,23211,23103,22871,22930,22760
G21,11165,10916,10757,10741,10714
G22,11564,11360,11229,11240,11225
G23,10727,10606,10472,10471,10444
G24,170,170,169,173,173
H2,30747,30838,30659,30696,30678
H3,25349,25234,25117,25216,25195
H4,25223,24934,24981,25097,25100
H5,30381,30333,30216,30279,30336
H6,25600,25504,25509,25555,25602
H7,25696,25669,25642,25628,25766
H8,30949,30870,30932,30903,30920
H9,25779,25510,25583,25792,25872
H10,26115,26132,26016,26139,26347
H11,30345,30270,30323,30313,30400
H12,30051,30111,29988,30050,30108
H13,30604,30688,30672,30663,30712
H14,25169,25267,25256,25410,25445
H15,24955,24969,25005,25082,25191
