nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.5067,0.0027,plate_AL_8,A2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,0.2938,0.0054,plate_AL_8,A3
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,0.3769,0.0088,plate_AL_8,A4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,0.1872,0.022,plate_AL_8,A5
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0,0.0026,plate_AL_8,A6
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0.0382,0.0059,plate_AL_8,A7
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.02,2,50,0.075,80,10,1.0398,0.0136,plate_AL_8,B2
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,1.6724,0.0057,plate_AL_8,B5
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,1.3691,0.0373,plate_AL_8,B8
0.099,0.0204,50,0.078,10,2,1.5,0.3,9,0.15,0.02,4,50,0.225,80,10,1.7204,0.0281,plate_AL_8,B11
0.033,0.0068,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.225,80,10,1.4517,0.0183,plate_AL_8,B12
0.033,0.0204,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,1.4396,0.0242,plate_AL_8,B17
0.033,0.034,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,1.6744,0.0785,plate_AL_8,B18
0.033,0.068,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.225,80,10,1.3195,0.1469,plate_AL_8,B23
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.225,80,10,1.4571,0.0549,plate_AL_8,C2
0.033,0.034,50,0.078,10,2,1.5,0.5,9,0.15,0.06,4,50,0.225,80,10,1.2738,0.022,plate_AL_8,C7
0.33,0.0068,50,0.13,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,1.4325,0.1441,plate_AL_8,C10
0.033,0.0068,50,0.13,10,2,1.5,1,9,0.15,0.06,4,50,0.075,80,10,0.2034,0.0513,plate_AL_8,C11
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.225,80,10,1.6212,0.1404,plate_AL_8,C12
0.33,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.02,4,50,0.225,80,10,1.6816,0.0431,plate_AL_8,C13
0.033,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.06,4,50,0.225,80,10,1.366,0.0987,plate_AL_8,C22
0.165,0.0068,50,0.13,10,2,1.5,0.1,9,0.15,0.2,4,50,0.075,80,10,1.4243,0.0731,plate_AL_8,C23
0.33,0.0068,50,0.13,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,80,10,1.7221,0.0925,plate_AL_8,D2
0.033,0.068,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,1.7162,0.0672,plate_AL_8,D3
0.099,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,0.1328,0.0136,plate_AL_8,D4
0.099,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,0.1818,0.0095,plate_AL_8,D15
0.099,0.068,50,0.026,10,2,1.5,0.3,9,0.15,0.1,4,50,0.225,80,10,1.7348,0.0425,plate_AL_8,D16
0.33,0.0204,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,1.5086,0.0749,plate_AL_8,D17
0.33,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,80,10,1.6369,0.0576,plate_AL_8,D18
0.033,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,1.401,0.0714,plate_AL_8,D19
0.099,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.06,4,50,0.225,80,10,1.4155,0.038,plate_AL_8,D20
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,80,10,1.4025,0.0304,plate_AL_8,D21
0.033,0.0204,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,0.2244,0.0403,plate_AL_8,D22
0.33,0.0068,50,0.13,10,2,1.5,0.3,9,0.15,0.1,4,50,0.075,80,10,1.6845,0.1245,plate_AL_8,D23
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.225,80,10,1.6957,0.0943,plate_AL_8,E2
0.099,0.068,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,1.6318,0.0845,plate_AL_8,E3
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.225,80,10,1.6801,0.0411,plate_AL_8,E4
0.033,0.068,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.225,80,10,1.3212,0.0199,plate_AL_8,E5
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,0.2316,0.0375,plate_AL_8,F10
0.033,0.068,50,0.26,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,1.3073,0.0668,plate_AL_8,F11
0.099,0.0204,50,0.13,10,2,1.5,0.5,9,0.15,0.2,4,50,0.075,80,10,1.4261,0.0678,plate_AL_8,F16
0.099,0.0204,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,0.2683,0.0651,plate_AL_8,F17
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,1.453,0.0055,plate_AL_8,F22
0.33,0.0204,50,0.078,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,80,10,1.5429,0.0085,plate_AL_8,G3
0.165,0.0068,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,0.1815,0.0288,plate_AL_8,G4
