nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,13960,11429,11886,A2,A8,A14,12425,1101.3,0.5719,0.078,plate_AL_7
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,10009,9599,9228,A3,A9,A15,9612,319,0.3726,0.0226,plate_AL_7
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,9265,10331,8730,A4,A10,A16,9442,665.5,0.3605,0.0471,plate_AL_7
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,6672,7364,6751,A5,A11,A17,6929,309.3,0.1825,0.0219,plate_AL_7
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,4259,4356,4444,A6,A12,A18,4353,75.6,0,0.0054,plate_AL_7
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,5221,4918,4938,A7,A13,A19,5025.7,138.4,0.0477,0.0098,plate_AL_7
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,50877,51895,50984,B2,B3,B4,51252,456.8,3.3227,0.0324,plate_AL_7
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,53371,49754,49596,B5,B9,B13,50907,1743.5,3.2983,0.1235,plate_AL_7
0.033,0.034,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,43096,46706,46832,B6,B10,B14,45544.7,1732.2,2.9184,0.1227,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,80,10,43064,44212,46751,B7,B11,B15,44675.7,1540.5,2.8568,0.1091,plate_AL_7
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,44898,46419,47691,B8,B12,B16,46336,1141.7,2.9744,0.0809,plate_AL_7
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,46496,43737,40992,B17,B20,B23,43741.7,2247,2.7906,0.1592,plate_AL_7
0.165,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,43583,43893,41232,B18,B21,C2,42902.7,1188.1,2.7312,0.0842,plate_AL_7
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,45387,45190,45407,B19,B22,C3,45328,97.9,2.903,0.0069,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,46208,46944,44988,C4,C8,C12,46046.7,806.6,2.9539,0.0571,plate_AL_7
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,45707,47833,46892,C5,C9,C13,46810.7,869.8,3.0081,0.0616,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,40688,43396,43866,C6,C10,C14,42650,1400.5,2.7133,0.0992,plate_AL_7
