nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,0.372,0.0451
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.4099,0.0292
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.3165,0.0094
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.1929,0.0017
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.0349,0.007
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.4605,0.0267
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,0.456,0.0474
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.3874,0.0618
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,0.5874,0.0507
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.9231,0.1295
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,1.9234,0.0652
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.8891,0.1146
