nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,20244.0,21425.0,21885.0,D2,D8,D14,21184.7,691.2,0.8384,0.0345,DH5
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,26045.0,28249.0,29562.0,D3,D9,D15,27952.0,1451.1,1.1762,0.0724,DH5
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,18195.0,20002.0,19755.0,D4,D10,D16,19317.3,800.0,0.7451,0.0399,DH5
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,20646.0,21567.0,21985.0,D5,D11,D17,21399.3,559.4,0.8491,0.0279,DH5
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,4751.0,4283.0,4144.0,D6,D12,D18,4392.7,259.7,0.0,0.013,DH5
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,9840.0,10870.0,10505.0,D7,D13,D19,10405.0,426.4,0.3002,0.0213,DH5
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,35523.0,38607.0,40590.0,M2,M9,M16,38240.0,2084.8,1.6899,0.1041,DH5
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,42194.0,43149.0,38641.0,M3,M10,M17,41328.0,1939.6,1.844,0.0968,DH5
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,41268.0,35096.0,44256.0,M4,M11,M18,40206.7,3814.1,1.788,0.1904,DH5
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,45355.0,43202.0,42755.0,M5,M12,M19,43770.7,1135.1,1.966,0.0567,DH5
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,33973.0,38412.0,36940.0,M6,M13,M20,36441.7,1846.2,1.6001,0.0922,DH5
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,37511.0,39577.0,39234.0,M7,M14,M21,38774.0,904.0,1.7165,0.0451,DH5
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,42964.0,44221.0,38945.0,M8,M15,M22,42043.3,2250.2,1.8797,0.1123,DH5
