nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,3.0,0.15,0.02,0.4,50.0,0.075,4.0,10.0,5566.0,5419.0,5622.0,A2,A8,A14,5535.7,85.6,0.5707,0.0122,PS
0.165,0.0068,50.0,0.026,10.0,2.0,0.15,0.1,9.0,0.15,0.02,0.4,50.0,0.375,12.0,10.0,5133.0,5721.0,6176.0,A3,A9,A15,5676.7,427.0,0.5908,0.061,PS
0.099,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,3.0,0.45,0.1,1.2,50.0,0.225,4.0,10.0,3996.0,3992.0,3572.0,A4,A10,A16,3853.3,198.9,0.3304,0.0284,PS
0.033,0.0204,50.0,0.078,10.0,2.0,0.15,0.5,9.0,0.45,0.06,2.0,50.0,0.225,12.0,10.0,3417.0,2969.0,2411.0,A5,A11,A17,2932.3,411.5,0.1989,0.0588,PS
0.33,0.068,0.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,1427.0,1495.0,1697.0,A6,A12,A18,1539.7,114.7,0.0,0.0164,PS
0.33,0.068,50.0,0.26,10.0,2.0,1.5,1.0,30.0,1.5,0.2,4.0,50.0,0.75,40.0,10.0,2006.0,2349.0,2144.0,A7,A13,A19,2166.3,140.9,0.0895,0.0201,PS
0.165,0.034,50.0,0.026,10.0,2.0,0.75,0.5,15.0,0.45,0.02,2.0,50.0,0.225,20.0,10.0,5196.0,7499.0,5287.0,P2,P9,P16,5994.0,1064.8,0.6361,0.1521,PS
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,1.2,50.0,0.375,20.0,10.0,8246.0,9788.0,7592.0,P3,P10,P17,8542.0,920.6,1.0,0.1315,PS
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,5052.0,5797.0,5040.0,P4,P11,P18,5296.3,354.1,0.5365,0.0506,PS
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,8678.0,9089.0,7725.0,P5,P12,P19,8497.3,571.3,0.9936,0.0816,PS
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,20132.0,19223.0,18096.0,P6,P13,P20,19150.3,832.8,2.515,0.1189,PS
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,1.5,0.1,4.0,50.0,0.075,40.0,10.0,18506.0,17805.0,16369.0,P7,P14,P21,17560.0,889.5,2.2879,0.127,PS
0.033,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,1.5,0.06,4.0,50.0,0.075,40.0,10.0,17887.0,18980.0,15013.0,P8,P15,P22,17293.3,1673.0,2.2498,0.2389,PS
