nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,2.2208,0.07
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,2.4728,0.187
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.8162,0.1054
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.6737,0.1675
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.3749,0.0066
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,1.9783,0.303
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,3.2565,0.2724
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,1.3099,0.1062
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,2.9657,0.2094
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,6.0845,0.3978
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,5.9249,0.1265
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,5.3646,0.2618
