nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,0.0936,0.0344
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.0558,0.0023
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.0525,0.0049
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.0448,0.0049
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.031,0.0052
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.0837,0.0098
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,0.0988,0.0087
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.1256,0.0076
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,0.1256,0.0164
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,0.2428,0.0316
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,0.2384,0.0258
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,0.1834,0.0109
