original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
rifaxamin,rifaxamin_to_PS,A6,D6,0,0.0229,0,0.0015,0.33,0.068,0,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
rifaxamin,rifaxamin_to_PS,A7,D7,0.3813,0.023,0.031,0.0052,0.33,0.068,50,0.26,2,10,1.5,1,30,1.5,0.2,4,50,0.75,40,10
rifaxamin,rifaxamin_to_PS,A3,D3,0.6355,0.0481,0.0558,0.0023,0.165,0.0068,50,0.026,2,10,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10
rifaxamin,rifaxamin_to_PS,A5,D5,0.6913,0.0981,0.0448,0.0049,0.033,0.0204,50,0.078,2,10,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10
rifaxamin,rifaxamin_to_PS,P2,M2,0.8211,0.0802,0.0837,0.0098,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10
rifaxamin,rifaxamin_to_PS,P4,M4,0.9273,0.0509,0.1256,0.0076,0.165,0.0204,50,0.078,2,10,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10
rifaxamin,rifaxamin_to_PS,P3,M3,1,0.1025,0.0988,0.0087,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10
rifaxamin,rifaxamin_to_PS,A4,D4,1.0895,0.0379,0.0525,0.0049,0.099,0.0204,50,0.078,2,10,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10
rifaxamin,rifaxamin_to_PS,P5,M5,1.1267,0.0359,0.1256,0.0164,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10
rifaxamin,rifaxamin_to_PS,A2,D2,1.2548,0.0361,0.0936,0.0344,0.033,0.0068,50,0.026,2,10,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10
rifaxamin,rifaxamin_to_PS,P8,M8,2.9612,0.0471,0.1834,0.0109,0.033,0.0204,50,0.078,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
rifaxamin,rifaxamin_to_PS,P6,M6,3.1212,0.1008,0.2428,0.0316,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10
rifaxamin,rifaxamin_to_PS,P7,M7,3.1549,0.1575,0.2384,0.0258,0.099,0.034,50,0.026,2,10,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10
