nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,-0.0284,0.0049,rifaxamin,O19,0.018012,0.000343,0.02143428,0.00040817
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.0229,rifaxamin,A6,0.02,0.001603,0.0238,0.00190757
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.3813,0.023,rifaxamin,A7,0.046691,0.00161,0.05556229,0.0019159
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.6355,0.0481,rifaxamin,A3,0.064485,0.003367,0.07673715,0.00400673
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.6724,0.0796,rifaxamin,G21,0.067068,0.005572,0.07981092,0.00663068
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.6913,0.0981,rifaxamin,A5,0.068391,0.006867,0.08138529,0.00817173
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.7243,0.1188,rifaxamin,F16,0.070701,0.008316,0.08413419,0.00989604
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.7375,0.0839,rifaxamin,J9,0.071625,0.005873,0.08523375,0.00698887
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.7615,0.0397,rifaxamin,J11,0.073305,0.002779,0.08723295,0.00330701
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.7697,0.0749,rifaxamin,K2,0.073879,0.005243,0.08791601,0.00623917
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.7854,0.0529,rifaxamin,H17,0.074978,0.003703,0.08922382,0.00440657
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.8211,0.0802,rifaxamin,P2,0.077477,0.005614,0.09219763,0.00668066
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.8425,0.0232,rifaxamin,I10,0.078975,0.001624,0.09398025,0.00193256
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,0.8842,0.0143,rifaxamin,K8,0.081894,0.001001,0.09745386,0.00119119
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.9273,0.0509,rifaxamin,P4,0.084911,0.003563,0.10104409,0.00423997
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,20,10,0.9725,0.0189,rifaxamin,B23,0.088075,0.001323,0.10480925,0.00157437
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,1,0.1025,rifaxamin,P3,0.09,0.007175,0.1071,0.00853825
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,1.011,0.0095,rifaxamin,G12,0.09077,0.000665,0.1080163,0.00079135
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,1.0353,0.0319,rifaxamin,O16,0.092471,0.002233,0.11004049,0.00265727
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,4,10,1.0748,0.0316,rifaxamin,C13,0.095236,0.002212,0.11333084,0.00263228
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,1.0895,0.0379,rifaxamin,A4,0.096265,0.002653,0.11455535,0.00315707
0.033,0.0068,50,0.026,10,2,0.45,0.3,15,0.15,0.1,2,50,0.225,20,10,1.1257,0.061,rifaxamin,C17,0.098799,0.00427,0.11757081,0.0050813
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,1.1267,0.0359,rifaxamin,P5,0.098869,0.002513,0.11765411,0.00299047
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,4,10,1.1922,0.0357,rifaxamin,B5,0.103454,0.002499,0.12311026,0.00297381
